url,title,segment,target
http://mp.weixin.qq.com/s?__biz=MjM5OTc1NDAxMg==&amp;mid=2652059963&amp;idx=1&amp;sn=1998d173428d0071ee85bc25ca1cf801&amp;chksm=,【徽州】《梦里徽州——新安江风情画卷》,"【 徽州 】 《 梦里 徽州 —— 新安江 风情 画卷 》
",1
http://mp.weixin.qq.com/s?__biz=MzA4NDI0MzMwNA==&amp;mid=2650179263&amp;idx=1&amp;sn=015b2e31d5d41541e646eadde10c8e55&amp;chksm=,古村的梦——古建筑博物馆,"古 村 的 梦 —— 古建筑 博物馆
",1
http://mp.weixin.qq.com/s?__biz=MzIyOTQ4MjEyNA==&amp;mid=2247483840&amp;idx=1&amp;sn=d068e996701bb4d4b309f4c692afb304&amp;chksm=,苞芦松 | 传承四百年的徽州小食,"苞芦松 | 传承 四百 年 的 徽州 小食
",1
http://mp.weixin.qq.com/s?__biz=MzI3MTAwNTA4NA==&amp;mid=2649742796&amp;idx=1&amp;sn=f6102d1a639cf88ad2c6d47f501979de&amp;chksm=,【徽州大家谈】墨客典籍与现代生活的交融地,"【 徽州 大家 谈 】 墨客 典籍 与 现代 生活 的 交融 地
",1
http://mp.weixin.qq.com/s?__biz=MzI3MTAwNTA4NA==&amp;mid=2649742782&amp;idx=2&amp;sn=f459ad75d269ccaac7cd14fb5fed72e6&amp;chksm=,【徽州大家谈】时代呼唤中华商魂——我所知的徽商,"【 徽州 大家 谈 】 时代 呼唤 中华 商 魂 —— 我 所 知 的 徽商
",1
http://mp.weixin.qq.com/s?__biz=MzA3MTEyNjk0Nw==&amp;mid=2651808945&amp;idx=1&amp;sn=0c73d520e0ea33200c77f79fb3824bec&amp;chksm=,徽州的图腾,"徽州 的 图腾
",1
http://mp.weixin.qq.com/s?__biz=MzI3MTAwNTA4NA==&amp;mid=2649742792&amp;idx=1&amp;sn=f30f46f41054e44d7d28678a3aec693d&amp;chksm=,【徽州大家谈】渐行渐远徽州传说之——汪道昆,"【 徽州 大家 谈 】 渐行渐远 徽州 传说 之—— 汪 道昆
",1
http://mp.weixin.qq.com/s?__biz=MzI3MTAwNTA4NA==&amp;mid=2649742774&amp;idx=1&amp;sn=8abcb5de662864d58a2af59d465cf9f3&amp;chksm=,【徽州大家谈】渐行渐远徽州传说之——朱升,"【 徽州 大家 谈 】 渐行渐远 徽州 传说 之—— 朱 升
",1
http://mp.weixin.qq.com/s?__biz=MjM5OTc1NDAxMg==&amp;mid=2652059668&amp;idx=1&amp;sn=7bee6d432fc84c8d010ab0e9f9f3357d&amp;chksm=,【古徽州】徽州民居的动与静,"【 古 徽州 】 徽州 民居 的 动 与 静
",1
http://mp.weixin.qq.com/s?__biz=MzI3MTAwNTA4NA==&amp;mid=2649742724&amp;idx=1&amp;sn=414d719e5b610d0716c90520b692831a&amp;chksm=,【徽州大家谈】渐行渐远徽州传说之——江昌燕,"【 徽州 大家 谈 】 渐行渐远 徽州 传说 之—— 江 昌燕
",1
