url,segments
http://culture.people.com.cn/n1/2017/0101/c1013-28992019.html,"徽州 古建筑 保护 遇 窘境 专家 建言 防 “ 建设性 破坏 ”
"
http://www.chinanews.com/cul/2016/12-10/8089732.shtml,"30 余 位 中外 书画家 皖南 体验 “ 徽 文化 ”
"
http://travel.sohu.com/20161231/n477476185.shtml,"石 川坞-千年 古 徽 杭 宗亲 的 联络线
"
http://sports.sohu.com/20161231/n477491596.shtml,"叶 长荫 ： 竞 与 赛 把 人气 聚 学 与 鉴 中 促 宣传
"
http://travel.china.com.cn/txt/2017-01/01/content_40021214.htm,"名山 名园 携手 美丽 黄山 时隔 55年 再入 颐和园
"
http://auto.sohu.com/20161228/n477152703.shtml,"驾 新 创酷 游历 徽州 ， 找回 年轻 时 的 节奏感
"
"http://finance.eastmoney.com/news/1349,20161209691914768.html","黄山旅游 ： 旅游 与 徽 文化 融合
"
http://travel.china.com.cn/txt/2016-12/19/content_39940212.htm,"徽派 建筑 ： 中华 大地 上 的 一 抹 亮色 ( 图 )
"
http://travel.china.com.cn/txt/2016-12/27/content_39990239.htm,"黄山市 搭 建 古 民居 产权 平台 交易额 超 700万
"
http://sports.sohu.com/20161230/n477354009.shtml,"一 场 厦 马 经济 效益 5.55 亿 2020年 全国 赛事 800+ 场
"
http://travel.sohu.com/20161210/n475485008.shtml,"黄 山脚下 的 清明 上 河图
"
http://music.yule.sohu.com/20161223/n476715645.shtml,"张 正扬 原创 艺术 歌曲 《 徽班 》 即将 全球 发行
"
http://travel.china.com.cn/txt/2016-12/08/content_39874104.htm,"安徽 旅游 以 茶 为媒 借助 "" 万 里 茶道 "" 沟通 世界
"
http://travel.sohu.com/20161225/n476903264.shtml,"体会 黄 山脚下 的 夜色 阑珊
"
http://www.ah.xinhuanet.com/20161205/3561801_c.html,"黄山市 ： 望 得 见 山 看 得 见 水 记得 住 乡愁
"
http://www.kaixian.tv/gd/2016/1230/107654.html,"砚雕 大师 方韶 ： 一生 痴 绝 处 无 梦到 徽州
"
http://news.hf365.com/system/2016/12/29/015144328.shtml,"蜀山 : 高 起点 谋 布局 强 支撑 壮 发展
"
http://blog.dwnews.com/post-929180.html,"京城 历史 上 三 件 事关 “ 国事 ” 的 “ 嫖事 ”
"
http://travel.sohu.com/20161221/n476471005.shtml,"古 徽州 和 新 黄山 该 如何 取舍
"
http://www.chinaqw.com/zhwh/2016/12-07/116326.shtml,"剪纸 、 抖 空竹 、 皮影戏 等 中国 民间 绝活 亮相 海外 ( 图 )
"
http://business.sohu.com/20161206/n475115595.shtml,"华安 证券 今日 登录 上交所 下午 发布 “ 徽 赢 ” 客户端
"
http://365jia.cn/news/2016-12-29/AE028AF898588D12.html,"合肥 蜀山 区 将 启动 公共 自行车 试点 首 批 计划 建
"
http://sports.qianlong.com/2016/1227/1251091.shtml,"新 消费 孕育 新 动力-- “ 跑 ” 出来 的 新 天地
"
http://www.jyb.cn/basc/ts/201612/t20161226_691148.html,"宁波 ： 鼓励 中小学生 在 “ 行走 的 课堂 ” 中 获取 真知
"
http://www.srxww.com/html/article/1024/2016_968238.html,"立足 资源 优势 加速 转型 升级 奋力 打造 全域 旅游 “ 婺源 样板 ”
"
http://ori.hangzhou.com.cn/ornews/content/2016-12/31/content_6433439.htm,"《 徽州 ： 捡拾 历史 的 碎片 》 作者 在 杭州 分享 创作 历程
"
http://news.hf365.com/system/2016/12/24/015143080.shtml,"安徽 第二 届 旗袍 模特 大赛 收官 前 三甲 火热 出炉
"
http://news.sznews.com/content/2016-12/05/content_14434959.htm,"安徽 歙县 ： 弘扬 乡贤 文化 引领 文明 风尚
"
http://cpc.people.com.cn/n1/2016/1203/c117005-28922543.html,"安徽 文物 工作 会议 召开 李 锦 斌 、 李 国英 作出 批示
"
http://xxgk.ah.gov.cn/UserData/DocHtml/731/2016/12/5/775216455397.html,"全省 文物 工作 会议 召开
"
http://news.sohu.com/20170102/n477538150.shtml,"元旦 小 长假 部分 北京 市民 选择 离 京 避霾
"
http://www.sootoo.com/content/668611.shtml,"同 程 助力 “ 致 青春 、 忆 当年 ” 2016 中国 黟县 写生 艺术节 开幕
"
http://www.chinaqw.com/gqqj/2016/12-16/117847.shtml,"美国 华人 专家 会 被 授予 “ 安徽 海外 侨胞 联络站 ”
"
http://news.hf365.com/system/2016/12/12/015139355.shtml,"绿色 宣城 开启 创 新 发展 之 路
"
http://www.jx.chinanews.com/news/2016/1214/4743.html,"2016 安徽 旅游 品牌 推介 采购 大会 成功 举办
"
http://www.srxww.com/html/article/1025/2016_969560.html,"秋口 加快 建设 文化 创意 项目
"
http://www.chinaqw.com/zhwh/2016/12-15/117587.shtml,""" 魅力 安徽 "" 摄影展 在 摩洛哥 首都 拉巴特 拉开 帷幕 ( 图 )
"
http://www.ah.gov.cn/UserData/DocHtml/1/2016/12/29/9741376571080.html,"中共 安徽 省委 安徽省 人民政府 关于 进一步 加强 城市 规划 建设 管理 工作 ...
"
http://www.chinaqw.com/gqqj/2016/12-09/116622.shtml,"旅 日 画家 葛 新民 敦煌 墨彩画 展 在 合肥 开展
"
http://ah.anhuinews.com/system/2016/12/29/007537178.shtml,"黄山 城市 形象 标识 正式 推出
"
http://news.hf365.com/system/2016/12/29/015144419.shtml,"“ 文物 使者 ” 石 谷 风 长眠 大 蜀山 名人 园
"
http://news.sina.com.tw/article/20170101/19992460.html,"徽州 古建 築保 護遇 窘境 專家 建言 防 「 建 設性 破壞 」
"
