url,segments
http://www.chinanews.com/cul/2017/01-01/8110957.shtml,"徽州 古建筑 保护 遇 窘境 专家 建言 防 "" 建设性 破坏 ""
"
http://www.chinanews.com/cul/2016/12-10/8089732.shtml,"30 余 位 中外 书画家 皖南 体验 “ 徽 文化 ”
"
http://www.chinanews.com/shipin/cns/2016/12-09/news681905.shtml,"日籍 华人 画家 葛 新民 画展 在 合肥 开幕
"
http://www.chinanews.com/cul/2016/12-08/8088110.shtml,""" 一带 一路 飞 彩 流 韵 "" \u 201 4\u 2014 旅 日 画家 葛 新民 敦煌 墨彩画 展 在 合肥 开展
"
http://www.chinanews.com/hr/2016/12-07/8085801.shtml,"剪纸 、 抖 空竹 、 皮影戏 等 中国 民间 绝活 海外 亮相
"
http://www.chinanews.com/cul/2016/11-28/8076375.shtml,"何 叔水 陶瓷 作品 《 富贵 春 》 ： 在 釉面 上 飞扬 的 思想
"
http://www.chinanews.com/cj/shipin/cns/2016/11-20/news677975.shtml,"徽州 山珍 "" 出城 记 "" ： 互联网 成 致富 网
"
http://www.chinanews.com/hr/2016/11-09/8058072.shtml,"16 家 海外 侨胞 联络站 助力 安徽 开放 发展
"
http://www.chinanews.com/life/2016/11-07/8055853.shtml,"安徽 绩溪 举办 徽菜 美食 文化 旅游节
"
http://www.chinanews.com/tw/2016/11-03/8052465.shtml,"两岸 和平 发展 论坛 发布 41 个 交流 项目 聚焦 青年
"
http://www.chinanews.com/cul/2016/10-06/8023128.shtml,"杨 丽萍 携 外国 团队 打造 大型 室内 演出 《 黄山 映象 之 天仙配 》
"
http://www.chinanews.com/house/2016/09-27/8016414.shtml,"万 达 城 复制 扩张 提速 王 健林 以 低 成本 运营 叫板 迪士尼 ？
"
http://www.chinanews.com/cul/2016/09-26/8015519.shtml,"安徽 上演 "" 文化 盛会 "" 推 千 余 场 文化 演出
"
http://www.chinanews.com/cj/2016/09-24/8013690.shtml,"第二 座 万 达 城 开业 上海 迪士尼 遭 "" 围攻 "" ？
"
http://www.chinanews.com/cj/2016/09-24/8013608.shtml,"合肥 万 达 城 开业 徽 文化 主题 鲜明
"
http://www.chinanews.com/life/2016/09-23/8012996.shtml,"""十一 "" 去 哪儿 ？ 这些 美景 不 容错过 ！
"
http://www.chinanews.com/hr/2016/09-22/8011613.shtml,"数十 位 皖籍 侨领 侨胞 为 家乡 发展 建言 献策
"
http://www.chinanews.com/life/2016/09-20/8008919.shtml,"芜湖 方特5 A 级 景区 揭 牌 开启 方 特 旅游 新 篇章
"
http://www.chinanews.com/cul/2016/09-10/8000422.shtml,"50 余 位 知名 作家 相聚 "" 中国 黄山 书 会 "" 分享 写作 心得
"
http://www.chinanews.com/hr/2016/08-29/7987495.shtml,"泰国 华裔 青少年 相聚 皖南 ： 愿 做 泰皖 文化 交流 使者
"
http://www.chinanews.com/hr/2016/08-24/7982721.shtml,"海外 华人 文化 社团 负责人 ： 传播 中华 文化 需 "" 亲身 躬行 ""
"
http://www.chinanews.com/hr/2016/08-23/7982070.shtml,"海外 文化 侨社 负责人 赴 安庆 交流 黄梅戏 文化
"
http://www.chinanews.com/cul/2016/08-23/7981646.shtml,"50 个 千 年 古镇 古 村落 列入 安徽 地名 文化 遗产 名单
"
http://www.chinanews.com/hr/2016/08-20/7979114.shtml,"近 40 位 海外 文化 侨社 负责人 赴皖 体验 “ 徽 文化 ”
"
http://www.chinanews.com/hr/2016/08-12/7970740.shtml,"泰国 安徽 商会 会长 ： 愿 为 皖泰 经贸 合作 "" 牵线搭桥 ""
"
http://www.chinanews.com/hr/2016/08-08/7965650.shtml,"多 国 华裔 青少年 相聚 皖南 体验 ""徽风皖韵 ""
"
http://www.chinanews.com/cul/2016/08-05/7963290.shtml,"海归 学者 谈 子女 发展 ： 不 希望 自己 的 孩子 出国 谋生
"
http://www.chinanews.com/cul/2016/08-01/7958585.shtml,"海归 人士 子女 体验 “ 徽 文化 ”
"
http://www.chinanews.com/cul/2016/07-12/7936882.shtml,"海外 孔子学院 里 的 "" 中国通 "" ： 愿 做 文化 交流 中 的 桥梁
"
http://www.chinanews.com/cj/2016/07-07/7930665.shtml,"合福 高铁 开通 一 周年 ： 强力 带动 皖赣 闽 旅游 经济 升温
"
http://www.chinanews.com/cul/2016/06-03/7893350.shtml,"古 民居 保护 的 黄山 “ 模式 ” ： 守 住 徽 文化 “ 筋骨肉 ”
"
http://www.chinanews.com/cul/2016/05-28/7886414.shtml,"徽州 工匠 的 坚守 ： 一生 做好 一 件 事
"
http://www.chinanews.com/cul/shipin/2016/05-09/news645321.shtml,"孟子 后人 齐 聚 孟 母 故里 山西 太谷 祭拜 中华 母亲
"
http://www.chinanews.com/cul/2016/05-08/7862459.shtml,"孟子 后人 齐 聚 孟 母 故里 太谷 祭拜 中华 母亲
"
http://www.chinanews.com/sh/2016/04-26/7849075.shtml,"五一 小 长假 不少 人选 择 拼 假 出游 搅 火 出境游
"
http://www.chinanews.com/df/2016/04-14/7834217.shtml,"黄山市 回应 ""复 名 徽州"" ： 将 深入 调研 尽快 提 出 建议
"
http://www.chinanews.com/df/2016/04-06/7825215.shtml,""" 华中 六 郡 "" 旅游 联盟 在 湘 成立 逐步 建 无障碍 旅游区
"
http://www.chinanews.com/df/2016/04-04/7822433.shtml,"清明 时节 安徽 砀山 百万 亩 连片 果园 变 "" 花海 ""
"
http://www.chinanews.com/sh/2016/03-31/7819215.shtml,"安徽 千 年 古 村落 朱 旺 清明 假期 对 ""朱""姓 游客 免票
"
http://www.chinanews.com/cul/2016/03-30/7817782.shtml,"安徽 黄山 设计师 "" 设计 扶贫 "" 传承 徽州 匠人 手艺
"
http://www.chinanews.com/cul/2016/03-29/7816414.shtml,"“ 徽 文化 ” 首部 百科全书 式 工具书 问世
"
http://www.chinanews.com/tp/hd2011/2016/03-04/614846.shtml,"江西 婺源 "" 人 潮 ""与""花海 "" 相映成趣
"
http://www.chinanews.com/sh/2016/02-22/7767892.shtml,"网友 为 ""躺枪 "" 的 江西 农村 正名 ： 山清水秀 、 风景 独好
"
http://www.chinanews.com/sh/2016/02-16/7759820.shtml,"安徽 进入 ""两会 时间 "" 吃请 送 收 礼品 重点 督查
"
http://www.chinanews.com/hr/2016/02-04/7748341.shtml,"海外 侨胞 助力 安徽 对接 "" 一带 一路 "" 建设
"
http://www.chinanews.com/df/2016/01-26/7734329.shtml,"安徽 外贸 走遍 220 个 国家 和 地区
"
http://www.chinanews.com/df/2016/01-19/7723375.shtml,"安徽 探索 养老 新 模式 破解 "" 养老 问题 ""
"
http://www.chinanews.com/life/2015/12-23/7683823.shtml,"古井 贡酒 连续 7 年 助力 \"" 心动 2015 安徽 年度 新闻 人物 评选 \ ""
"
http://www.chinanews.com/cul/2015/12-21/7680196.shtml,"祁门县 省级 文保 单位 一 本堂 失火 致 该 祠堂 严重 损坏
"
http://www.chinanews.com/hr/2015/12-20/7679395.shtml,"海外 华裔 青少年 "" 中国 寻根 之 旅 "" 冬令营 安徽 开 营
"
http://www.chinanews.com/ty/shipin/2015/12-08/news615378.shtml,""" 黄山 168"" 国际 徒步 探险 祁门 段 启动 签约 仪式 举行
"
http://www.chinanews.com/cul/2015/11-17/7626536.shtml,"中国 在 海外 唯一 完整 古 宅 被 卖 18年 日 参观 人数 上万
"
http://www.chinanews.com/ty/2015/11-16/7626022.shtml,"66 国家 241 名 外籍 运动员 参加 中国 黄山 国际 登山 大会
"
http://www.chinanews.com/cul/2015/11-15/7624304.shtml,"徒步 箬岭 古道 感受 隋唐 遗风
"
http://www.chinanews.com/cul/2015/11-10/7616237.shtml,"百 余 非 遗 传统 技艺 黄山 斗艳
"
http://www.chinanews.com/sh/2015/11-03/7602918.shtml,"美国 女巫 小镇 有 座 徽派 古建 来自 黄山 休宁 古村
"
http://www.chinanews.com/cul/2015/10-28/7593281.shtml,"黄山市 抢救 徽州 话 112 位""土著 "" 录制 土话 存档
"
http://www.chinanews.com/hr/2015/10-13/7567617.shtml,"300 余 名 华人 华侨 代表 齐 聚 安徽 共 商 强化 文化 交流
"
http://www.chinanews.com/cj/2015/10-09/7559869.shtml,""" 互联网 +"" 助推 文化 消费热 让 消费 更 便捷
"
http://www.chinanews.com/cul/2015/09-18/7532309.shtml,"“ 一 带 一 路 ” 沿线 部分 国家 参与 “ 安徽 文化 第一 展 ”
"
http://www.chinanews.com/tw/2015/09-02/7503305.shtml,"台湾 连续 5 年 成 安徽 入境 旅游 最 大 客 源地
"
http://www.chinanews.com/cul/2015/08-26/7488868.shtml,"安徽 举办 系列 文化 活动 抢救 濒临 失传 "" 绝活 ""
"
http://www.chinanews.com/df/2015/08-25/7487776.shtml,"“ 一 带 一 路 ” 沿线 部分 国家 设 展 “ 安徽 文化 第一 展 ”
"
http://www.chinanews.com/hr/2015/08-07/7454654.shtml,"2015年 第二 届 全球 安徽 留学生 盛典 圆满 落幕
"
http://www.chinanews.com/cul/2015/08-06/7451272.shtml,"通讯 ： 安徽 民间 博物馆 面临 困境 传承 文化 举步维艰
"
http://www.chinanews.com/df/2015/08-05/7448678.shtml,"小 众 旅游 渐 受 追捧 音乐 联姻 景区 出 "" 深闺 ""
"
http://www.chinanews.com/cul/2015/07-22/7420224.shtml,"国家级 非 遗 传承 人 ： 徽墨 远销 海外 却 面临 失传
"
http://www.chinanews.com/df/2015/07-14/7405062.shtml,"七国 师生 走 进 安徽 感受 徽 文化 魅力
"
http://www.chinanews.com/cul/2015/06-26/7367854.shtml,"网络 书城 将 两岸 同步 上 线 拥有 上百万 种 繁 、 简体 书
"
http://www.chinanews.com/tw/2015/06-25/7366745.shtml,"安徽 文化 交流 周 在 台 开幕 《 大黄山 》 将 在 台 播出
"
http://www.chinanews.com/hr/2015/06-18/7353937.shtml,""" 深圳 侨商 安徽 行 "" 开启 携手 共赢 新 篇章
"
http://www.chinanews.com/sh/2015/05-24/7297527.shtml,"安徽 黄山 徽州 古城 举办 首 届 汉 式 集体 婚礼
"
http://www.chinanews.com/df/2015/05-21/7292067.shtml,"第二 届 中国 玉石 雕 ""玉英奖 "" 评选 作品展 合肥 举办
"
http://www.chinanews.com/tw/2015/05-16/7280940.shtml,"陈 国祥 ： 两岸 交流 应 多 元 并举 媒体 需 发挥 正 能量
"
http://www.chinanews.com/hr/2015/05-14/7277164.shtml,"二十 余 家 世界 华文 媒体 聚焦 安徽
"
http://www.chinanews.com/df/2015/05-06/7256494.shtml,""" 中国 文房四宝 之 城 "" 宣城 打造 ""三 宜 "" 城市
"
http://www.chinanews.com/house/2015/04-30/7245498.shtml,"古 宅 千 里 "" 搬家 "" 是 保护 还是 破坏 ？
"
http://www.chinanews.com/cul/2015/04-30/7245305.shtml,"江西 清代 古 宅 \"" 搬家 \"" 到 广西 专家 : 是 权宜之计 ( 图 )
"
http://www.chinanews.com/cul/2015/04-30/7244232.shtml,"婺源 1800 平米 清代 徽 式 古 民居 搬 至 广西 复原 重建
"
http://www.chinanews.com/fz/2015/04-13/7203144.shtml,"安徽 首部 反 腐 题材 电影 聚焦 检察 机关 ""拍苍蝇 ""
"
http://www.chinanews.com/df/2015/04-12/7201358.shtml,"安徽 文化 电 商联 盟 成立 官 网上 线
"
http://www.chinanews.com/cj/2015/04-12/7201272.shtml,"中国 特色 文化街 代表 相聚 合肥 商业街 发展 峰会
"
http://www.chinanews.com/cul/2015/04-07/7187816.shtml,"安徽省 文化馆 积极 打磨 非 遗 文化 少儿 花鼓 灯 舞蹈
"
http://www.chinanews.com/gn/2015/03-08/7110296.shtml,"刘 云山 参加 安徽 代表团 审议 关心 "" 渔民 上岸 工程 ""
"
http://www.chinanews.com/cul/2015/02-17/7071187.shtml,"民俗 专家 ： "" 羊 宝宝 "" 命运 不好 的 说法 不 科学
"
http://www.chinanews.com/yl/2015/02-17/7071015.shtml,"安徽 卫视 春晚 今 上演 ： 李 宇春 唱 黄梅戏 R a i n 热 舞 ( 图 )
"
http://www.chinanews.com/tw/2015/02-16/7068447.shtml,"安徽 黟县 民间艺术 台北 亮相 展现 传统 民艺 的 魅力
"
http://www.chinanews.com/cul/2015/02-14/7064166_4.shtml,"隋末 汪 华建 吴国 称王 主动 归顺 唐朝 死 后 被 封为 神 ( 4 )
"
http://www.chinanews.com/df/2015/02-10/7050244.shtml,"安徽 广交 朋友 扩 影响 力促皖 企 走 出去
"
http://www.chinanews.com/cul/2015/02-08/7045176.shtml,"安徽 黄山 评 出 十 大 徽州 名人 故居
"
http://www.chinanews.com/cul/2015/02-02/7026767.shtml,"周 园\"" 周 家 大院 \"" 5月 开放 将 展示 中国 最 大 古 戏台 ( 图 )
"
http://www.chinanews.com/hr/2015/01-25/7002663.shtml,"安徽省 政协 委员 建言 搭建 为 侨 服务 新 平台
"
http://www.chinanews.com/hr/2015/01-25/7002539.shtml,"新 徽派 版画 在 日 展出 华人 画家 共 促 中 日 人文 交流
"
http://www.chinanews.com/df/2015/01-24/7001612.shtml,"安徽 黄山 呵护 "" 徽州 古道 ""将 适度 开发
"
http://www.chinanews.com/cj/2015/01-22/6993269.shtml,"推进 全域 旅游 发展 完善 游客 休闲 体验
"
http://www.chinanews.com/cul/2015/01-21/6989938.shtml,"纪念 徽班 进 京 225 周年 徽班 六 剧 将 携手 入京
"
http://www.chinanews.com/sh/2015/01-18/6979324.shtml,"26 国 留学生 穿越 古 徽州 体验 清代 婚礼
"
http://www.chinanews.com/cul/2015/01-06/6942139.shtml,"首 届 长江 （ 湘 赣皖 鄂 ） 文化 论坛 在 武汉 举行
"
http://www.chinanews.com/cul/2015/01-06/6941709.shtml,"合肥 学院 教授 支持 广场 舞 申 遗 网友 ： 门槛 太 低 ( 图 )
"
http://www.chinanews.com/life/2015/01-04/6933215.shtml,"教授 ： 广场 舞 符合 国情 可 申报 世界 非遗
"
http://www.chinanews.com/sh/2014/12-24/6909060.shtml,"安徽 合肥 徽 文化街 上 的 平安夜 ： 东西方 文化 的 和谐 融合
"
http://www.chinanews.com/hr/2014/12-12/6871670.shtml,"泰国 华文 民校 协会 主席 ： 华文 在 泰国 越来越 受 欢迎
"
http://www.chinanews.com/ty/2014/11-19/6792396.shtml,"黄山 国际 登山 大会 开幕 美 俄 英 等 50 国 200 选手 参加
"
http://www.chinanews.com/df/2014/11-15/6780575.shtml,"安徽 芜湖 铁画 ： 城市 的 特 有 记忆
"
http://www.chinanews.com/cul/2014/11-11/6766885.shtml,"安徽 举办 《 秋 浦 歌 诗 》 水墨 徽 韵 书画展 ( 图 )
"
http://www.chinanews.com/gj/2014/11-07/6761749.shtml,"美国 驻 上海 新科 总领事 ： 徽 文化 令 人 印象 深刻
"
http://www.chinanews.com/cul/2014/10-20/6696957.shtml,"合肥 ""中国 鼓 ""获 吉尼斯 纪录 耗资 1.3亿 元 建成
"
http://www.chinanews.com/cul/2014/10-20/6695557.shtml,"18 米 高 ""中国 鼓 ""成 世界 上 最 大 的 单体 鼓 型 建筑 ( 图 )
"
http://www.chinanews.com/sh/2014/10-19/6693172.shtml,"合肥 ""中国 鼓 ""获 世界 最 大 鼓 型 建筑 吉尼斯 纪录
"
http://www.chinanews.com/life/2014/10-17/6690694.shtml,"玩乐 指南 ： 探寻 各省 最 美 的 文化 符号
"
http://www.chinanews.com/hr/2014/08-19/6508325.shtml,"安徽 文化 中国 名家 讲坛 专家 团 赴 欧 为 侨胞 举办 文化 讲座
"
http://www.chinanews.com/cj/2014/08-18/6502252.shtml,"金融 与 文化 对 接应 向 纵深 发展
"
http://www.chinanews.com/cul/2014/08-17/6500688.shtml,"徽学 专家 ： 口头 传承 和 生活 习俗 等 正在 濒临 消亡
"
http://www.chinanews.com/cj/2014/08-12/6483181.shtml,"安徽 试点 文化 银行 文化 与 金融 深度 融合 迈向 新 领域
"
http://www.chinanews.com/cul/2014/08-05/6462353.shtml,"海外 优秀 学生 参与 “ 奖 学之 旅 ” 领略 徽 文化
"
http://www.chinanews.com/cj/2014/07-31/6444909.shtml,"安徽 文化 培训 基地 上海 挂牌
"
http://www.chinanews.com/cul/2014/07-29/6436766.shtml,"南京 周 园 将 移 建 35 座 徽派 古建 包括 六 进 式 老宅
"
http://www.chinanews.com/hr/2014/07-15/6386840.shtml,"70 名 海外 华裔 青少年 在皖 体验 中华 文化
"
http://www.chinanews.com/tp/2014/07-08/6364595.shtml,"港澳台 10 所 高校 学生 来皖 研习 徽 文化
"
http://www.chinanews.com/df/2014/06-30/6331924.shtml,"首 届 "" 创意 安徽 "" 论坛 在 蚌埠 举行
"
http://www.chinanews.com/cul/2014/06-26/6321273.shtml,"胡 适 屈从 母 命 娶 农村 小脚 女子 未 弃 发妻 觅 新欢 ( 图 )
"
http://www.chinanews.com/cul/2014/06-23/6311275.shtml,"真伪 徽派 建筑 风行 苏 浙 专家 ： 有的 徒有其表
"
http://www.chinanews.com/house/2014/06-23/6310718.shtml,"真伪 徽派 建筑 风行 苏 浙 专家 担忧 失却 文化 之 魂
"
http://www.chinanews.com/df/2014/06-19/6299970.shtml,"皖南 成 中国 首 个 探索 实施 历史 文化 资源 区域 整体 化 保护地
"
http://www.chinanews.com/cul/2014/05-17/6181765.shtml,"百年 徽匠 工艺 ： 古老 与 现代 同 行 希望 后代 继承
"
http://www.chinanews.com/ny/2014/04-29/6117803.shtml,""" 黄金水道 ""抓""黄金 机遇 ""须""黄金 组合 ""
"
http://www.chinanews.com/df/2014/04-22/6090297.shtml,"安徽 交响乐团 创作 大型 交响乐 《 渡江 \u 20141949 》 合肥 首演
"
http://www.chinanews.com/sh/2014/04-20/6083332.shtml,"徽州 多 个 古 村 现代 痕迹 渐 浓 村里 用 塑料 藤蔓 装饰
"
http://www.chinanews.com/cul/2014/04-18/6079432.shtml,"\"" 中国 省份 水墨画 \"" 走红 网友 点 赞 求 作者 现身 ( 图 )
"
http://www.chinanews.com/life/2014/04-18/6078066.shtml,"网友 点 赞 中国 省份 水墨画 （ 图 ）
"
http://www.chinanews.com/zgqj/2014/04-16/6072091.shtml,"安徽 海外 交流 协会 ： 推进 对外 联谊 工作 创 新 发展
"
http://www.chinanews.com/df/2014/04-14/6061453.shtml,"合肥市 轨道 公司 ： 地铁站 设计 将 体现 “ 徽 文化 ” ( 图 )
"
http://www.chinanews.com/cul/2014/04-03/6027087.shtml,"南京 溧水 建 全国 最 大 徽派 建筑群 移 建 35 幢 古宅
"
http://www.chinanews.com/cul/2014/03-28/6004271.shtml,"35 座 徽派 老宅 异地 复建 全部 部件 按 编号 组装
"
http://www.chinanews.com/hb/2014/03-21/5980712.shtml,"外报 ： 当前 中国 不 穷 吃 穿 在于 如何 管理 好
"
http://www.chinanews.com/cul/2014/03-09/5928225.shtml,"安徽省 油画 作品 晋 京 邀请展 在 京 开幕
"
http://www.chinanews.com/zgqj/2014/03-05/5912175.shtml,"安徽 侨务 工作团 访问 阿根廷 慰问 侨胞 拓展 交流
"
http://www.chinanews.com/sh/2014/02-24/5876084.shtml,"小伙 他乡 救人 溺亡 被 救者 突然 不辞而别 （ 图 ）
"
http://www.chinanews.com/edu/2014/02-12/5829170.shtml,"安徽省 人大代表 ： 将 自闭症 患者 救助 纳入 民生 工程
"
http://www.chinanews.com/cul/2014/02-09/5815172.shtml,"安徽 政协 委员 呼吁 保护 挖掘 地方 文化 遗存
"
http://www.chinanews.com/cul/2014/01-29/5796759.shtml,"安徽 卫视 春晚 大展 \"" 徽 元素 \"" 徽 式 戏剧 舞蹈 将 亮相
"
http://www.chinanews.com/hwjy/2014/01-26/5783236.shtml,"东京 举办 中国 优秀 画家 展 民主党 党首 冀 促进 交流
"
http://www.chinanews.com/cul/2014/01-22/5768442.shtml,"徽州 雕刻 传承 人 ： 致力 徽 雕 的 国际 传播
"
http://www.chinanews.com/yl/2014/01-21/5763149.shtml,"《 大黄山 》 在 央视 开播 "" 舌尖 "" 总 导演 任 艺术 指导
"
http://www.chinanews.com/cul/2014/01-20/5756770.shtml,"高 清 纪录片 《 大黄山 》 将 开播
"
http://www.chinanews.com/house/2014/01-06/5703247.shtml,"王 健林 反对 盲目 引进 迪士尼 环球 影城 强调 中国 元素
"
http://www.chinanews.com/yl/2013/12-26/5668904.shtml,"纪录片 《 大黄山 》 首 用 航拍 新 技术 再现 雄奇 俊美
"
http://www.chinanews.com/sh/2013/12-21/5647681.shtml,"企业 另类 招聘 惹 关注 要求 不怕 老婆 自带 白酒 一 瓶
"
http://www.chinanews.com/cul/2013/12-16/5623521.shtml,"安徽 文化教育 信息 资源 实现 共享
"
http://www.chinanews.com/cul/2013/11-29/5564708.shtml,"中国 徽菜 之 乡 绩溪 全景式 再现 ""赛琼碗 ""
"
http://www.chinanews.com/sh/2013/11-26/5548189.shtml,"安徽 日报 评论 ： 深化 改革 增强 文化 "" 软实力 ""
"
http://www.chinanews.com/gn/2013/11-22/5535953.shtml,"安徽 ： 提升 教育 文化 发展 水平 筑 牢 美好 安徽 建设 根基
"
http://www.chinanews.com/df/2013/11-21/5531973.shtml,"安徽省 海外 交流 协会 第三 届 理事 大会 在 合肥 举行
"
http://www.chinanews.com/sh/2013/11-18/5515452.shtml,"安徽 前 三 季 旅游业 接待 游客量 、 收入 增幅 超 全国
"
http://www.chinanews.com/cul/2013/11-12/5493971.shtml,"余 秋雨 ： 中国 文化 需要 减减 肥 了 ( 图 )
"
http://www.chinanews.com/sh/2013/11-12/5493611.shtml,"余 秋雨 ： 中国 文化 被 世界 误会 需要 减减 肥
"
http://www.chinanews.com/cul/2013/11-07/5474847.shtml,"评 另类 建筑 ： 伤害 了 传统 文化 的 传承
"
http://www.chinanews.com/zgqj/2013/11-05/5465922.shtml,"安徽 合肥市 侨联 开展 "" 委员 活动日 "" 活动
"
http://www.chinanews.com/sh/2013/11-04/5460675.shtml,"安徽 黄山 43 个 村 入选 全国 传统 村落
"
http://www.chinanews.com/ty/2013/10-31/5449692.shtml,"安徽省 运动会 征集 会旗 图案
"
http://www.chinanews.com/sh/2013/10-08/5350975.shtml,"合肥 第七 届 文博 会 迎 客 45.9万 交易额 逾 两 亿 元
"
http://www.chinanews.com/cul/2013/09-29/5338087.shtml,"中国 文房四宝 文化 旅游节 宣城 开幕
"
http://www.chinanews.com/tp/2013/09-06/5255485.shtml,"图 ： 安徽 一 博物馆 ""晒""古代 月饼 模具
"
http://www.chinanews.com/cul/2013/08-22/5194111.shtml,"歙砚 价格 疯 涨 因 优质 资源 少 资金 关注 多
"
http://www.chinanews.com/cul/2013/08-12/5149011.shtml,"安徽 歙县 行 知 学校 开设 非 遗 专业 毕业生 很 抢手
"
http://www.chinanews.com/df/2013/08-08/5141454.shtml,"安徽省 黄梅戏 剧院 举行 建 院 60 周年 庆典 活动
"
http://www.chinanews.com/tp/2013/08-06/5130907.shtml,"海外 华裔 青少年 "" 中国 寻根 之 旅 "" 夏令营 安徽 营 开营
"
