url,token title,flag
http://cul.anhuinews.com/system/2009/06/04/002268103.shtml,"《 西游记 》 作者 是 古 徽州 人 唐皋 ？ - 西游记 -
",pos
http://cul.anhuinews.com/system/2009/06/04/002268114.shtml,"新安 医学 许 思文 与 《 黑罗痧 问答 认 》 - 新安 医学 -
",pos
http://cul.anhuinews.com/system/2009/06/04/002268155.shtml,"桑拿 牛肉 - 徽菜 飘香 -
",pos
http://cul.anhuinews.com/system/2009/06/04/002268162.shtml,"金 勾 烧肉 - 徽菜 飘香 -
",pos
http://cul.anhuinews.com/system/2009/06/09/002271223.shtml,"凤台 3 人 成为 国家级 “ 非 遗 ” 传承 人-非遗-
",neg
http://cul.anhuinews.com/system/2009/06/15/002274925.shtml,"徽州 民歌 唱 响 文化 遗产 日 - 徽州 民歌 -
",pos
http://cul.anhuinews.com/system/2009/07/01/002285894.shtml,"李 鸿章 大杂烩 与 八 公山 豆腐 排 - 徽菜 -
",neg
http://cul.anhuinews.com/system/2009/07/01/002285896.shtml,"徽菜 是 灵山 秀水 间 的 百姓 菜 - 徽菜 -
",pos
http://cul.anhuinews.com/system/2009/07/01/002285897.shtml,"徽菜 真 不 是 “ 吹 ” 出来 的 - 徽菜 -
",pos
http://cul.anhuinews.com/system/2009/07/01/002285901.shtml,"胗心 相伴
",neg
http://cul.anhuinews.com/system/2009/07/01/002285904.shtml,"蜜汁 山芋 - 徽菜 飘香 , 蜜汁 山芋 -
",pos
http://cul.anhuinews.com/system/2009/07/01/002285906.shtml,"狗肉 拌 豇豆
",neg
http://cul.anhuinews.com/system/2009/07/01/002285908.shtml,"乌龙茶 的 泡 饮 技艺 - 乌龙茶 -
",neg
http://cul.anhuinews.com/system/2009/07/01/002285910.shtml,"针对 身体 你 该 喝 什么 茶 ？ - 喝茶 -
",neg
http://cul.anhuinews.com/system/2009/07/01/002285911.shtml,"从 茶类 认识 茶色 素 成分 - 茶 色素 , 茶类 -
",neg
http://cul.anhuinews.com/system/2009/07/01/002285912.shtml,"如何 让 紫砂壶 容光 焕发 - 紫砂壶 -
",neg
http://cul.anhuinews.com/system/2009/07/02/002286964.shtml,"从 邓 小平 吃 徽菜 谈 起 - 徽菜 -
",pos
http://cul.anhuinews.com/system/2009/07/14/002294737.shtml,"徽派 版画 雕刻 - 徽派 版画 , 徽学 流派 -
",pos
http://cul.anhuinews.com/system/2009/07/17/002297868.shtml,"真假 十 大 名茶 鉴别 方法 - 名茶 , 鉴别 -
",neg
http://cul.anhuinews.com/system/2009/07/20/002299306.shtml,"人间 至 味 毛 豆腐 - 徽菜 -
",pos
http://cul.anhuinews.com/system/2009/07/20/002299317.shtml,"提醒 : 酒 掺 可乐 酒 劲 更 猛
",neg
http://cul.anhuinews.com/system/2009/07/20/002299319.shtml,"专家 ： 谁 说 不 能 吃 牛肉
",neg
http://cul.anhuinews.com/system/2009/07/20/002299320.shtml,"过年 吃 “ 年年 糕 ” 的 习俗
",neg
http://cul.anhuinews.com/system/2009/07/20/002299321.shtml,"清代 皇族 过年 习俗 ： 鸣炮 祭 灶 吃 饺子
",neg
http://cul.anhuinews.com/system/2009/07/20/002299325.shtml,"“ 洪武 豆腐 ” 的 来历 及 做法
",neg
http://cul.anhuinews.com/system/2009/07/20/002299327.shtml,"三河 捧 出 春节 旅游 大餐 - 三河 -
",neg
http://cul.anhuinews.com/system/2009/07/20/002299329.shtml,"怀远 河 溜 烧饼
",neg
http://cul.anhuinews.com/system/2009/07/20/002299331.shtml,"合肥市 补贴 庐江 人 种菜 - 种菜 -
",neg
http://cul.anhuinews.com/system/2009/07/29/002305965.shtml,"盛夏 品 黄山 “ 三 石 ”
",neg
http://cul.anhuinews.com/system/2009/08/24/002323353.shtml,"人民 法官 要 胸 怀 一 颗 善心 ―― 观 电视剧 《 苍天 》 有 感 - 原创 -
",neg
http://cul.anhuinews.com/system/2009/09/07/002332504.shtml,"用 镜头 纪录 最 美 的 黄山
",neg
http://cul.anhuinews.com/system/2009/09/14/002337414.shtml,"严 阵 ： 使命感 是 “ 诗人 的 灵魂 ”
",neg
http://cul.anhuinews.com/system/2009/09/15/002338337.shtml,"铜镜 展 在 中国 科大 举行 - 铜镜 -
",neg
http://cul.anhuinews.com/system/2009/10/20/002359814.shtml,"砚雕 造 神奇 访 徽州 民间 工艺 大师 王 祖伟 - 大师 -
",pos
http://cul.anhuinews.com/system/2009/11/16/002416502.shtml,"凤台 奇石 入选 世博会 - 凤台 -
",neg
http://cul.anhuinews.com/system/2009/11/20/002428740.shtml,"版画家 班苓 ： 刻出 黄山 美 印出 民俗 风 - 画家 -
",neg
http://cul.anhuinews.com/system/2009/12/03/002466049.shtml,"“ 文化 休宁 ” 首 次 登 上 北京 文博会 - 文博 会 , -
",pos
http://cul.anhuinews.com/system/2009/12/10/002484161.shtml,"三河 古镇 将 “ 亮相 ” 世博会 - 三河 -
",neg
http://cul.anhuinews.com/system/2009/12/15/002495386.shtml,"祁红 成 世博 指定 用 茶 - 茶 , -
",pos
http://cul.anhuinews.com/system/2009/12/18/002498616.shtml,"蒙城 发现 三 处 古 遗址 - 遗址 -
",neg
http://cul.anhuinews.com/system/2009/12/31/002543362.shtml,"曹 墓墓室 “ 面朝 ” 亳州 亳州 考察团 考察 "" 安阳 曹 操墓 ""
",neg
http://cul.anhuinews.com/system/2010/03/01/002683837.shtml,"又 到 义 写 春联 时 - 书法 -
",neg
http://cul.anhuinews.com/system/2010/03/03/002691249.shtml,"揭秘 高层 领导 生存 状态 方 兆祥 新作 《 老M 神侃 》 出版 - 方兆祥 -
",neg
http://cul.anhuinews.com/system/2010/03/31/002765470.shtml,"天井 - 诗歌 -
",neg
http://cul.anhuinews.com/system/2010/03/31/002765557.shtml,"吊脚楼 的 梦 - 诗歌 -
",neg
http://cul.anhuinews.com/system/2010/03/31/002765634.shtml,"小巷 - 散文 -
",neg
http://cul.anhuinews.com/system/2010/03/31/002766146.shtml,"水湾处 - 散文 -
",neg
http://cul.anhuinews.com/system/2010/04/09/002790766.shtml,"生命 中 的 那个 弱点 - 散文 -
",neg
http://cul.anhuinews.com/system/2010/04/12/002796458.shtml,"33 在 帅 才 与 将才 之间 游走 - 老M 神侃 -
",neg
http://cul.anhuinews.com/system/2010/04/12/002796460.shtml,"32 、 举人 并非 唯亲 - 老M 神侃 -
",neg
http://cul.anhuinews.com/system/2010/04/12/002796473.shtml,"30 、 怕 的 是 ： 日 计 有余 ， 岁 计 不足 - 老M 神侃 -
",neg
http://cul.anhuinews.com/system/2010/04/12/002796475.shtml,"29 、 办事 成本 高 乎 哉 ？ - 老M 神侃 -
",neg
http://cul.anhuinews.com/system/2010/04/12/002796477.shtml,"27 、 己 之 所 欲 必 施 于 人 - 老M 神侃 -
",neg
http://cul.anhuinews.com/system/2010/04/12/002796507.shtml,"26 、 军中 无 戏言 - 老M 神侃 -
",neg
http://cul.anhuinews.com/system/2010/04/12/002796517.shtml,"22 、 风雨飘摇 的 小 楼 - 老M 神侃 -
",neg
http://cul.anhuinews.com/system/2010/04/12/002796532.shtml,"21 、 别 小看 了 “ 胆大 一 点 ” 的 -老M 神侃 -
",neg
http://cul.anhuinews.com/system/2010/04/12/002796540.shtml,"20 、 洗 澡堂 里 泡 出 的 自来水 - 老M 神侃 -
",neg
http://cul.anhuinews.com/system/2010/04/12/002796544.shtml,"19 、 大山 深处 的 灯光 - 老M 神侃 -
",neg
http://cul.anhuinews.com/system/2010/04/12/002796546.shtml,"18 、 一 封 信 解决 一辈子 问题 - 老M 神侃 -
",neg
http://cul.anhuinews.com/system/2010/04/12/002796551.shtml,"16 、 他们 总 让 人 感到 有 希望 - 老M 神侃 -
",neg
http://cul.anhuinews.com/system/2010/04/12/002796568.shtml,"15 、 有 时候 凭 威信 有时候 凭 德行 - 老M 神侃 -
",neg
