url,segments,flag
http://cul.anhuinews.com/system/2016/11/28/007515276.shtml,"洪 建华 夫妇 的 竹刻 人生
",1
http://cul.anhuinews.com/system/2016/11/21/007510305.shtml,"徽州 民歌 传人 操 明 花 校园 授艺
",1
http://cul.anhuinews.com/system/2016/11/03/007497425.shtml,"黄山 楹联 漫谈
",1
http://cul.anhuinews.com/system/2016/01/26/007194809.shtml,"徽派 雕刻 —— 徽州 木雕 艺术
",1
http://cul.anhuinews.com/system/2016/01/26/007194808.shtml,"徽派 雕刻 —— 徽州 砖雕 艺术
",1
http://cul.anhuinews.com/system/2016/01/26/007194805.shtml,"徽派 雕刻 —— 徽州 石雕 艺术
",1
http://cul.anhuinews.com/system/2016/01/26/007194776.shtml,"徽州 古 民居 雕刻 装饰 研究
",1
http://cul.anhuinews.com/system/2016/01/26/007194780.shtml,"徽派 雕刻 —— 忆 千 年 沧桑 ， 探秘 西 递 牌楼
",1
http://cul.anhuinews.com/system/2014/07/16/006488389.shtml,"谭 笔 戏墨
",1
http://cul.anhuinews.com/system/2014/07/16/006488386.shtml,"飞 虹 横卧 庐州 城 （ 二 ）
",1
http://cul.anhuinews.com/system/2014/07/15/006487406.shtml,"体古法 之 功 具 时法之新—— 吴 前琪 书法 漫谈
",1
http://cul.anhuinews.com/system/2014/07/14/006486489.shtml,"松萝 茶 被窃 秘史
",1
http://cul.anhuinews.com/system/2014/07/14/006486477.shtml,"徽派 雕刻 —— 古老 徽州 明清 建筑 中 木雕 艺术
",1
http://cul.anhuinews.com/system/2014/07/11/006485167.shtml,"徽州 为什么 称为 “ 文献 之 邦 ”
",1
http://cul.anhuinews.com/system/2014/07/10/006483550.shtml,"飞 虹 横卧 庐州 城 ( 一 )
",1
http://cul.anhuinews.com/system/2014/07/10/006483488.shtml,"新安 医学 ： 新安 郑氏 喉科 学术 著作 学术 特色
",1
http://cul.anhuinews.com/system/2014/07/07/006479567.shtml,"徽州 文化 : 全国 唯一 的 女 祠堂 —— 清 懿堂
",1
http://cul.anhuinews.com/system/2014/07/07/006479543.shtml,"华夏 文明 的 圣火 —— 皋陶 文化
",1
http://cul.anhuinews.com/system/2014/07/02/006475120.shtml,"桐城 派 的 三 个 时期 —— 初创 、 兴盛 、 末流
",1
http://cul.anhuinews.com/system/2014/06/30/006472720.shtml,"漫漫 古 皖道
",1
http://cul.anhuinews.com/system/2014/06/26/006469773.shtml,"安徽省 非物质 文化 遗产 ： 砖雕 、 石雕 、 木雕
",1
http://cul.anhuinews.com/system/2014/06/26/006469746.shtml,"徽州 文化 中 的 烟 文化
",1
http://cul.anhuinews.com/system/2014/06/26/006469719.shtml,"合肥 火 笔画
",1
http://cul.anhuinews.com/system/2014/06/24/006467283.shtml,"论 “ 桐城 派 ”
",1
http://cul.anhuinews.com/system/2014/06/19/006462652.shtml,"徽州 的 天井 文化
",1
http://cul.anhuinews.com/system/2014/06/19/006462648.shtml,"马头 墙 内外 的 徽州 女人
",1
http://cul.anhuinews.com/system/2014/06/17/006460205.shtml,"精雕细刻 铸 华章 —— 记 徽 雕 艺术家 曹 篁生
",1
http://cul.anhuinews.com/system/2014/06/17/006460178.shtml,"徽派 版画 ： 镌印 艺术 传奇
",1
http://cul.anhuinews.com/system/2014/06/17/006460057.shtml,"新安 理学
",1
http://cul.anhuinews.com/system/2014/06/12/006455947.shtml,"文脉 蜿蜒 拓 徽州
",1
http://cul.anhuinews.com/system/2014/06/11/006454739.shtml,"新安 碑 园林 “ 窗门 ” ， 靓出 一 道 古 徽 蜃景
",1
http://cul.anhuinews.com/system/2014/06/06/006450974.shtml,"老城 之 井
",1
http://cul.anhuinews.com/system/2014/06/06/006450969.shtml,"怀宁 小 市 自古 就 享有 “ 长诗 圣地 ” 的 美誉
",1
http://cul.anhuinews.com/system/2014/05/27/006442781.shtml,"建安 文坛 上 成就 最高 的 作家 —— 曹植
",1
http://cul.anhuinews.com/system/2014/05/22/006439514.shtml,"徽州 木雕 ： 雕花 撰 朵 富丽 繁华 名 工 巧匠 辈出
",1
