url,segments,flag
http://www.xinhs.cn/article.asp?id=83252,"明末 休宁 胡 正言 刊刻 《 十 竹 斋 画谱 》
",1
http://www.xinhs.cn/article.asp?id=83247,"浩浩姑 孰 写 太平 ： 萧云 从 《 太平 山水 图 》 赏析
",1
http://www.xinhs.cn/article.asp?id=83216,"休宁 汪 昂 独 专 医学 著书 立 作
",1
http://www.xinhs.cn/article.asp?id=83215,"宋 歙县 罗 聘 著 《 新安 志 》 载 徽 茶文化
",1
http://www.xinhs.cn/article.asp?id=83214,"再现 美丽 的 古 徽州 版画
",1
http://www.xinhs.cn/article.asp?id=83213,"明代 徽派 民居 屯溪 程氏 三 宅
",1
http://www.xinhs.cn/article.asp?id=83199,"皖南 古 民居 建筑 赏析 画 里 宏村
",1
http://www.xinhs.cn/article.asp?id=83196,"岁月 留 痕 觅 古桥
",1
http://www.xinhs.cn/article.asp?id=83182,"徽州 风俗 文化 意蕴 人杰地灵 古韵 悠然
",1
http://www.xinhs.cn/article.asp?id=83118,"明清 时期 徽州 府 刻 书业 历史 （ 二 ）
",1
http://www.xinhs.cn/article.asp?id=83119,"明清 时期 徽州 府 刻 书业 历史 （ 一 ）
",1
http://www.xinhs.cn/article.asp?id=83077,"唐 文学家 吴 少微 及其 后世 子孙
",1
http://www.xinhs.cn/article.asp?id=83043,"明代 学者 程敏 政 《 新安 文献 志 》 与 徽州 文化
",1
http://www.xinhs.cn/article.asp?id=83029,"胡 适 对 书籍 情有独钟 藏书 摆 满 40 个 大 书架
",1
http://www.xinhs.cn/article.asp?id=82991,"宋 代理 学家 朱熹 传世 墨迹 《 蓬 户 手卷 》
",1
http://www.xinhs.cn/article.asp?id=82938,"徽州 民间 契约 中 的 法律 精神
",1
http://www.xinhs.cn/article.asp?id=82936,"雄关 漫道 昱岭情
",1
http://www.xinhs.cn/article.asp?id=82882,"歙县 徽商 曹 氏兄弟 协心 戮力 出资 建造 老 徽 杭 公路
",1
http://www.xinhs.cn/article.asp?id=82881,"徽州 趣味 饮食 文化
",1
http://www.xinhs.cn/article.asp?id=82697,"金农 与 徽州 人 的 情谊
",1
http://www.xinhs.cn/article.asp?id=82696,"探寻 古 徽州 木 商 的 经营 发展 之 道
",1
http://www.xinhs.cn/article.asp?id=82665,"徽学 漫议
",1
http://www.xinhs.cn/article.asp?id=82664,"浅 谈 徽州 书法 （ 下 ）
",1
http://www.xinhs.cn/article.asp?id=82632,"浅 谈 徽州 书法 （ 上 ）
",1
http://www.xinhs.cn/article.asp?id=82621,"静 物化 情思 翰墨 诉 衷肠 —— 渐 江 笔下 的 黄山
",1
http://www.xinhs.cn/article.asp?id=82619,"国画 大师 汪 采 白 童生 试卷 现身 歙县 距 今 116年
",1
http://www.xinhs.cn/article.asp?id=82574,"抢救 徽州 民间 历史 记忆 —— 刘 伯山 《 重 寻 徽州 》 述评
",1
http://www.xinhs.cn/article.asp?id=82573,"清 新安 画家 程邃 《 深 竹 幽居图 》
",1
http://www.xinhs.cn/article.asp?id=82512,"清 新安 画家 弘 仁 陶 庵图轴
",1
http://www.xinhs.cn/article.asp?id=82478,"徽学 的 形成 ： 得力于 徽州 原始 文书 的 发现
",1
http://www.xinhs.cn/article.asp?id=82387,"匠人 手中 的 徽州 文化
",1
http://www.xinhs.cn/article.asp?id=82377,"清华大学 的 四 位 徽州 籍 校长
",1
http://www.xinhs.cn/article.asp?id=82374,"到 哪儿 去 找寻 徽州
",1
http://www.xinhs.cn/article.asp?id=82357,"右 龙 村民 喜迎 宗谱 传 家风
",1
http://www.xinhs.cn/article.asp?id=82319,"辛亥革命 在 江淮 ： 徽州 反 清 “ 三人行 ”
",1
http://www.xinhs.cn/article.asp?id=82318,"清查 士标 山水图
",1
http://www.xinhs.cn/article.asp?id=82304,"清 弘 仁 晓 江 风 便 图卷
",1
http://www.xinhs.cn/article.asp?id=82277,"理学 大家 朱熹 终生 不 忘 故土 徽州
",1
http://www.xinhs.cn/article.asp?id=82271,"筛子 里 的 徽州 味道
",1
http://www.xinhs.cn/article.asp?id=82217,"北宋 歙州 黄山 张 谷墨
",1
http://www.xinhs.cn/article.asp?id=82189,"千古 新安 第一 循 良
",1
http://www.xinhs.cn/article.asp?id=82187,"罚 戏 封山
",1
http://www.xinhs.cn/article.asp?id=82157,"祁红 香 沁 百年 沧桑 难忘 那 一 抹 中国 红
",1
http://www.xinhs.cn/article.asp?id=82042,"吴 成林 让 徽墨 飘香 四海
",1
http://www.xinhs.cn/article.asp?id=82041,"祁红 鼻祖 胡 元 龙 家族 遗嘱 面世
",1
http://www.xinhs.cn/article.asp?id=81862,"徽州 古建 装饰 的 历史 人文 价值
",1
http://www.xinhs.cn/article.asp?id=81713,"借鉴 古黟 传统 廉政 楹联 弘扬 徽州 优秀 廉政 文化
",1
http://www.xinhs.cn/article.asp?id=81631,"教育家 杨亮 功 辅助 胡 适 开创 中国 公学 往事
",1
http://www.xinhs.cn/article.asp?id=81621,"胡 适 与 五四运动 —— 革故鼎新 爱 我 中华
",1
http://www.xinhs.cn/article.asp?id=81563,"徽 戏 在 中国 戏曲 史 上 的 地位
",1
http://www.xinhs.cn/article.asp?id=81559,"明清 徽州 家谱 特点 及 道德 伦理 价值
",1
http://www.xinhs.cn/article.asp?id=81441,"徽州 人 的 书写
",1
http://www.xinhs.cn/article.asp?id=81440,"许 村 一 族 四 院士
",1
http://www.xinhs.cn/article.asp?id=81439,"徽剧 ， 中国 第一 戏 之母
",1
http://www.xinhs.cn/article.asp?id=81320,"棠 樾鲍氏 宗族 慈孝 善行 文化 典故
",1
http://www.xinhs.cn/article.asp?id=81319,"徽州 良匠 精神 的 文明 启示
",1
http://www.xinhs.cn/article.asp?id=81181,"马克思 将 王 茂荫 写 进 《 资本论 》 的 来龙去脉
",1
http://www.xinhs.cn/article.asp?id=81064,"朱熹 与 辛弃疾 的 莫逆之交
",1
http://www.xinhs.cn/article.asp?id=81053,"新安 医学 发源地 祁门 为何 多 御医 ？
",1
http://www.xinhs.cn/article.asp?id=81033,"名闻遐迩 的 眉纹 金星 歙砚
",1
http://www.xinhs.cn/article.asp?id=80734,"清代 人物 门 罩 砖雕 寓意 三 国 故事
",1
http://www.xinhs.cn/article.asp?id=80733,"知晓 徽州 俗谚 传承 礼仪 教化
",1
http://www.xinhs.cn/article.asp?id=80732,"徽州 科技 地理 丛书 荟萃
",1
http://www.xinhs.cn/article.asp?id=80682,"工匠 精神 ： 徽派 建筑 为何 能 在 中国 建筑史 上 独树一帜 ？
",1
http://www.xinhs.cn/article.asp?id=80559,"徽州 地区 婴儿 出生 传统 礼俗
",1
http://www.xinhs.cn/article.asp?id=80558,"徽州 文化 之 书院 春秋
",1
http://www.xinhs.cn/article.asp?id=80557,"胡 适 的 家庭 教育观 ： 强调 做 母亲 一定 要 有 耐心
",1
http://www.xinhs.cn/article.asp?id=80555,"黄山 地名 的 “ 村落 ” 味儿
",1
http://www.xinhs.cn/article.asp?id=80495,"新安 地理 练 江 上 的 古歙 三桥
",1
http://www.xinhs.cn/article.asp?id=80494,"徽州 德育 拾 珍—— 休宁 还 金亭
",1
http://www.xinhs.cn/article.asp?id=80493,"碧 阳 书院 话 复旦
",1
http://www.xinhs.cn/article.asp?id=80492,"徽 州长 塘 鲍氏德 孝 书香 代代 传
",1
http://www.xinhs.cn/article.asp?id=80491,"清 货币 理论家 王 茂荫 何以 留名 《 资本论 》
",1
http://www.xinhs.cn/article.asp?id=80436,"胡 开文 制 墨 创始人 胡 天柱 的 先见之明
",1
http://www.xinhs.cn/article.asp?id=80435,"古 徽商 与 徽州 教育
",1
http://www.xinhs.cn/article.asp?id=80337,"徽州 茶礼 —— 敬 和 俭静
",1
http://www.xinhs.cn/article.asp?id=80334,"青瓦 白 墙 梦 徽州 ( 组图 )
",1
http://www.xinhs.cn/article.asp?id=80309,"“ 徽派 朴学 ” 奠基 学人 江永
",1
http://www.xinhs.cn/article.asp?id=80308,"清代 徽州 科技 人物 ： 天球仪 发明者 齐 彦槐
",1
http://www.xinhs.cn/article.asp?id=80281,"徽州 祠堂
",1
http://www.xinhs.cn/article.asp?id=80277,"徽州 石碑 挺
",1
http://www.xinhs.cn/article.asp?id=80266,"徽州 古 道路 亭 哲理 楹联
",1
http://www.xinhs.cn/article.asp?id=80243,"朱 淑贞 ： 为 情 断肠 毁 伊人
",1
http://www.xinhs.cn/article.asp?id=80242,"舒 绣 文 最后 的 日子
",1
http://www.xinhs.cn/article.asp?id=80241,"赛 金花 ： 呼风唤雨 的 清末 名妓
",1
http://www.xinhs.cn/article.asp?id=80230,"赛 金花 ： 状元 夫人 的 传奇
",1
http://www.xinhs.cn/article.asp?id=80229,"舒 绣文 ： 艺德 双全 赢 赞誉
",1
http://www.xinhs.cn/article.asp?id=80228,"苏 雪林 ： 率 性 的 另类 才女
",1
http://www.xinhs.cn/article.asp?id=80215,"廉政 文化 ： 一 官 清彻 骨 三 尺 法 无私
",1
http://www.xinhs.cn/article.asp?id=80214,"胡 适 致 大学 毕业生 ： 功 不 唐 捐
",1
http://www.xinhs.cn/article.asp?id=80203,"徽州 木雕 传统 工艺 浅析
",1
http://www.xinhs.cn/article.asp?id=80202,"老舍 的 徽州 《 咏 茶 》 诗
",1
http://www.xinhs.cn/article.asp?id=80200,"徽剧 服装 —— 戏曲 服饰 美 的 精粹
",1
http://www.xinhs.cn/article.asp?id=80199,"新安 医家 的 医德 医风
",1
http://www.xinhs.cn/article.asp?id=80171,"《 朱 子 家训 》 ： 严 私德 立 公德 的 价值 典范
",1
http://www.xinhs.cn/article.asp?id=80170,"县域 文艺 ： 祁门 采茶戏 演 茶人
",1
http://www.xinhs.cn/article.asp?id=80168,"徽州 古建 装饰 的 文化 价值 ： 宁可 内 简 也 要 外 奢
",1
http://www.xinhs.cn/article.asp?id=80167,"徽派 建筑 的 性别 ： 美人 靠 、 小姐 绣 楼 、 贞节 牌坊
",1
http://www.xinhs.cn/article.asp?id=80127,"明清 徽州 家谱 与 徽商 文化
",1
http://www.xinhs.cn/article.asp?id=80126,"徽州 家族 文化 与 中华 文明 传承 的 关系
",1
http://www.xinhs.cn/article.asp?id=80058,"绩溪 传统 文化 伏 岭 徽剧 传 戏 盼 后生
",1
http://www.xinhs.cn/article.asp?id=80040,"翰林 学士 程敏 政 对联 轶事
",1
http://www.xinhs.cn/article.asp?id=80039,"朱熹 家教 ： 重视 启蒙 慈爱 有度
",1
http://www.xinhs.cn/article.asp?id=80038,"徽 茶 老字号 ： 香 溢 京城 “ 吴 裕泰 ”
",1
http://www.xinhs.cn/article.asp?id=80037,"陶 行知 “ 喂 鸡 ” 和 “ 四 块 糖 ” 故事 启迪 人才 管理
",1
http://www.xinhs.cn/article.asp?id=80032,"徽剧 的 艺术 特点 ： 要求 演员 能文能武
",1
http://www.xinhs.cn/article.asp?id=79938,"云 间 洛 下 齐 名士 白 岳 黄山 两 逸民
",1
http://www.xinhs.cn/article.asp?id=79903,"徽州 竹编
",1
http://www.xinhs.cn/article.asp?id=79876,"徽州 饮食 煮 粥 捞饭
",1
http://www.xinhs.cn/article.asp?id=79875,"徽 商训 以 诚 为信 以 真 为答
",1
http://www.xinhs.cn/article.asp?id=79874,"胡 适 的 做人 处世 启蒙 读本
",1
http://www.xinhs.cn/article.asp?id=79848,"徽州 绩溪 冯村
",1
http://www.xinhs.cn/article.asp?id=79829,"复原 历史 徽州 地名 关乎 民生 法治
",1
http://www.xinhs.cn/article.asp?id=79824,"民间 戏曲 活化石 祁门 傩舞
",1
http://www.xinhs.cn/article.asp?id=79823,"胡 开文 制 墨 纪念 抗战 胜利
",1
http://www.xinhs.cn/article.asp?id=79783,"协商 聚 力 ， 更 好 留住 徽 文化 根脉
",1
http://www.xinhs.cn/article.asp?id=79761,"陶 行 知 与 山 海 工学 团
",1
http://www.xinhs.cn/article.asp?id=79760,"徽州 传统 木雕 艺术 的 题材 类型 及 寓意
",1
http://www.xinhs.cn/article.asp?id=79708,"徽州 抗倭 英雄 户部 尚书 殷 正茂
",1
http://www.xinhs.cn/article.asp?id=79660,"北京 高中生 眼中 的 徽州 ： 徽州 的 读书 种子
",1
http://www.xinhs.cn/article.asp?id=79649,"古 歙县 民间 传说 ： 乾隆 避雨 遇 贤 妇
",1
http://www.xinhs.cn/article.asp?id=79648,"徽州 一绝 砖雕 的 民间 传说
",1
http://www.xinhs.cn/article.asp?id=79572,"徽州 刻 书 与 名家 刻 坊
",1
