url,segments,flag
http://mp.weixin.qq.com/s?__biz=MjM5OTc1NDAxMg==&amp;mid=2652059963&amp;idx=1&amp;sn=1998d173428d0071ee85bc25ca1cf801&amp;chksm=,"【 徽州 】 《 梦里 徽州 —— 新安江 风情 画卷 》
",1
http://mp.weixin.qq.com/s?__biz=MzA4NDI0MzMwNA==&amp;mid=2650179263&amp;idx=1&amp;sn=015b2e31d5d41541e646eadde10c8e55&amp;chksm=,"古 村 的 梦 —— 古建筑 博物馆
",1
http://mp.weixin.qq.com/s?__biz=MzIyOTQ4MjEyNA==&amp;mid=2247483840&amp;idx=1&amp;sn=d068e996701bb4d4b309f4c692afb304&amp;chksm=,"苞芦松 | 传承 四百 年 的 徽州 小食
",1
http://mp.weixin.qq.com/s?__biz=MzI3MTAwNTA4NA==&amp;mid=2649742796&amp;idx=1&amp;sn=f6102d1a639cf88ad2c6d47f501979de&amp;chksm=,"【 徽州 大家 谈 】 墨客 典籍 与 现代 生活 的 交融 地
",1
http://mp.weixin.qq.com/s?__biz=MzI3MTAwNTA4NA==&amp;mid=2649742782&amp;idx=2&amp;sn=f459ad75d269ccaac7cd14fb5fed72e6&amp;chksm=,"【 徽州 大家 谈 】 时代 呼唤 中华 商 魂 —— 我 所 知 的 徽商
",1
http://mp.weixin.qq.com/s?__biz=MzA3MTEyNjk0Nw==&amp;mid=2651808945&amp;idx=1&amp;sn=0c73d520e0ea33200c77f79fb3824bec&amp;chksm=,"徽州 的 图腾
",1
http://mp.weixin.qq.com/s?__biz=MzI3MTAwNTA4NA==&amp;mid=2649742792&amp;idx=1&amp;sn=f30f46f41054e44d7d28678a3aec693d&amp;chksm=,"【 徽州 大家 谈 】 渐行渐远 徽州 传说 之—— 汪 道昆
",1
http://mp.weixin.qq.com/s?__biz=MzI3MTAwNTA4NA==&amp;mid=2649742774&amp;idx=1&amp;sn=8abcb5de662864d58a2af59d465cf9f3&amp;chksm=,"【 徽州 大家 谈 】 渐行渐远 徽州 传说 之—— 朱 升
",1
http://mp.weixin.qq.com/s?__biz=MjM5OTc1NDAxMg==&amp;mid=2652059668&amp;idx=1&amp;sn=7bee6d432fc84c8d010ab0e9f9f3357d&amp;chksm=,"【 古 徽州 】 徽州 民居 的 动 与 静
",1
http://mp.weixin.qq.com/s?__biz=MzI3MTAwNTA4NA==&amp;mid=2649742724&amp;idx=1&amp;sn=414d719e5b610d0716c90520b692831a&amp;chksm=,"【 徽州 大家 谈 】 渐行渐远 徽州 传说 之—— 江 昌燕
",1
http://mp.weixin.qq.com/s?__biz=MjM5OTc1NDAxMg==&amp;mid=2652059568&amp;idx=1&amp;sn=d53d40598042a0224b92267155a0334f&amp;chksm=,"【 古 徽州 】 有 一 种 乡村 老记 忆 ： 徽州 老豆腐
",1
http://mp.weixin.qq.com/s?__biz=MzI3MTAwNTA4NA==&amp;mid=2649742712&amp;idx=1&amp;sn=52fa229988f7f864eecbf190ca469654&amp;chksm=,"【 牛 哥 说 事 】 年 味
",1
http://mp.weixin.qq.com/s?__biz=MzA4NDI0MzMwNA==&amp;mid=2650179252&amp;idx=1&amp;sn=e7a2fe8f366efeba4edb45838b599882&amp;chksm=,"溪流 无 岁月 堤 树 有 春秋
",1
http://mp.weixin.qq.com/s?__biz=MzI3MDM3NDY0Nw==&amp;mid=2247484680&amp;idx=1&amp;sn=be3d164e3e536f40c6c2f79053e5bdc0&amp;chksm=,"你们 的 小年 在 今天 ， 徽州 的 小年 却 是 明天
",1
http://mp.weixin.qq.com/s?__biz=MzI3MTAwNTA4NA==&amp;mid=2649742326&amp;idx=1&amp;sn=fb03ee91136e2980edf78c745c3b354b&amp;chksm=,"【 徽州 大家 谈 】 屯 安东 ： 茶务 都 会 —— 屯溪
",1
http://mp.weixin.qq.com/s?__biz=MzI3MTAwNTA4NA==&amp;mid=2649742691&amp;idx=1&amp;sn=aab4da368bb28756a3b69ba4468e1dfc&amp;chksm=,"【 徽州 大家 谈 】 徽州 人 对 君子 文化 的 弘扬
",1
http://mp.weixin.qq.com/s?__biz=MzI3MTAwNTA4NA==&amp;mid=2649742397&amp;idx=1&amp;sn=282c16f6d211f9a4e5abecaca2d7af77&amp;chksm=,"【 徽州 百 村 】 烟雨 迷蒙 中 的 虹 关村
",1
http://mp.weixin.qq.com/s?__biz=MzA5MzA0NTYxMw==&amp;mid=2658628694&amp;idx=1&amp;sn=c95f23cb9f694c86bcc26bd9c438f2fd&amp;chksm=,"舌尖 上 的 徽州 （ 41 ） 令 人 趋之若鹜 的 徽州 古镇 馄饨 挑
",1
http://mp.weixin.qq.com/s?__biz=MzI3MDM3NDY0Nw==&amp;mid=2247484637&amp;idx=1&amp;sn=d683c3a1a47ced60f62323e1c00ed91c&amp;chksm=,"徽州 万象 ｜打 ！ 食 ！ 桃 ？
",1
http://mp.weixin.qq.com/s?__biz=MzI3MTAwNTA4NA==&amp;mid=2649742646&amp;idx=1&amp;sn=2b81f9f41fba0a5586d4a23bdb65e4be&amp;chksm=,"婺源 茶 ， 闻 之 心醉 ， 品 之 弥 香
",1
http://mp.weixin.qq.com/s?__biz=MzA3NDQ0ODAzMQ==&amp;mid=2654745060&amp;idx=1&amp;sn=f6ff4c7b735cfb6f085d52e5c92a9c90&amp;chksm=,"祁门 有 个 董 家湾 ， 那里 不止 有 诗意 ， 更 是 一 处 纯净 心灵 的 圣地
",1
http://mp.weixin.qq.com/s?__biz=MjM5OTc1NDAxMg==&amp;mid=2652059188&amp;idx=1&amp;sn=9cd55bd19e60e08f2e43cd7994ce95d7&amp;chksm=,"【 古 徽州 】 绩溪 龙川 ， 一个 传说 中 的 风水宝地 ！
",1
http://mp.weixin.qq.com/s?__biz=MzI3MTAwNTA4NA==&amp;mid=2649742829&amp;idx=1&amp;sn=f87c958b1b9f5abb1a512b91775d984d&amp;chksm=,"【 徽州 文化 】 傩戏
",1
http://mp.weixin.qq.com/s?__biz=MzI3MTAwNTA4NA==&amp;mid=2649742644&amp;idx=1&amp;sn=7a95ef4235a8cdcbf542e57b60719d86&amp;chksm=,"【 徽州 百 村 】 渐行渐远 徽州 山村 之—— 历溪
",1
http://mp.weixin.qq.com/s?__biz=MzIyOTQ4MjEyNA==&amp;mid=2247483838&amp;idx=1&amp;sn=7014603689cb6ff6c5cf84e4ea8f6f7d&amp;chksm=,"徽州 四 大 行业 之四—— 木商
",1
http://mp.weixin.qq.com/s?__biz=MzIyOTQ4MjEyNA==&amp;mid=100000006&amp;idx=1&amp;sn=c1133de26faa4e03becdb4515baba190&amp;mpshare=1&amp;scene=5&amp;srcid=0103lKaUjr0naLm53EwdpYbS,"徽州 · 前世 今生
",1
http://mp.weixin.qq.com/s?__biz=MjM5MzQ0NTUyOA==&amp;mid=2649755075&amp;idx=1&amp;sn=7a6d4240ee5f5778439c3dc66a61056a&amp;chksm=,"家 在 祁门 桃源 里
",1
http://mp.weixin.qq.com/s/FkR3aegTQ89jcX4mnDiFJA,"网友 自制 大片 《 徽州 画卷 》 ， 每 一 帧 美 的 都可以 做 壁纸
",1
http://mp.weixin.qq.com/s?__biz=MzI5ODE1MTE3Nw==&amp;mid=2652268035&amp;idx=1&amp;sn=1798196f9e1e5857f8a32c1757b86264&amp;mpshare=1&amp;scene=5&amp;srcid=1231jdjQbyjtsl0PvitlIEGV,"你 不知道 的 那些 古 民居 建筑
",1
http://mp.weixin.qq.com/s?__biz=MzI0OTI3NTEwNQ==&amp;mid=2653561654&amp;idx=1&amp;sn=e1e23491fb3c1c0b4f79710dc49bd172&amp;mpshare=1&amp;scene=5&amp;srcid=12314fAcjveT9HZG5xzmeKSC,"【 徽州 人 说 徽州 】 山 为 邻水 为 友 古 村 老宅 皆 有 情
",1
http://mp.weixin.qq.com/s?__biz=MjM5OTc5OTM5Mw==&amp;mid=2650109733&amp;idx=1&amp;sn=5cc608be2200bf3347157deab63b7ce4&amp;chksm=,"婺源 石城 的 美 除了 秋天 ， 还有 你 从 未 见 过 的 春天 。
",1
http://mp.weixin.qq.com/s?__biz=MzA3NDQ0ODAzMQ==&amp;mid=2654743931&amp;idx=1&amp;sn=cc3301a8d875370c32b973815f722a5b&amp;chksm=,"徽州 这里 的 深秋 不 需要 美 图 ， 路人 甲 也 秒 变 摄影师 ！
",1
http://mp.weixin.qq.com/s?__biz=MzA3NDQ0ODAzMQ==&amp;mid=2654743986&amp;idx=1&amp;sn=2f9eee7c4bb080f6a1aef0575e60c9c6&amp;chksm=,"歙县 英 坑 ： 栗树 园里 银 杏黄 ， 黑 瓦 白 墙 乡思 染
",1
http://mp.weixin.qq.com/s?__biz=MzA3MTEyNjk0Nw==&amp;mid=2651808959&amp;idx=1&amp;sn=b5e433878287f4ecc8dafee55145e0e8&amp;chksm=,"徽州 难觅 “ 潘 金莲 ”
",1
http://mp.weixin.qq.com/s?__biz=MjM5OTc1NDAxMg==&amp;mid=2652058593&amp;idx=1&amp;sn=153854d1373cd84fdf732e89a47b8fe5&amp;chksm=,"安徽 现存 最 古老 的 牌坊 —— 歙县 郑 村 “ 贞白里坊 ”
",1
http://mp.weixin.qq.com/s?__biz=MzA3MTEyNjk0Nw==&amp;mid=2651808871&amp;idx=1&amp;sn=ec3ee630eccd717440a379f7d9f017c7&amp;chksm=,"呼唤 徽州 之—— 绩溪 篇
",1
http://mp.weixin.qq.com/s?__biz=MjM5NzEwMDk2MA==&amp;mid=2451859466&amp;idx=1&amp;sn=b2225267b141aee4c02cd26b09d8cf22&amp;chksm=,"茶 语 生活 | 祁红 创始 的 传奇 故事 （ 连载 之 八 ）
",1
http://mp.weixin.qq.com/s?__biz=MzA5NTUxOTU2Ng==&amp;mid=2651809460&amp;idx=1&amp;sn=a247ba7f4e5c50e3ba9c1632087a497a&amp;chksm=,"【 旅游 文化 】 中国 古建筑 ： 惊 艳 世界 的 美 ！
",1
http://mp.weixin.qq.com/s?__biz=MzA3MTEyNjk0Nw==&amp;mid=2651808848&amp;idx=1&amp;sn=7ae43db6e50549f72b610034ce0f39c6&amp;chksm=,"呼唤 徽州 之—— 婺源 篇
",1
http://mp.weixin.qq.com/s?__biz=MzA3MTEyNjk0Nw==&amp;mid=2651808828&amp;idx=1&amp;sn=ec3383d7a4b8a6979f2e8bb0d413fd33&amp;chksm=,"本末 演义 亦 文 亦史
",1
http://mp.weixin.qq.com/s?__biz=MzA4NDI0MzMwNA==&amp;mid=2650178106&amp;idx=1&amp;sn=61dc45396cce34a8918deff4ed2cc982&amp;mpshare=1&amp;scene=5&amp;srcid=12166SFooFsEILq0ugqJoTM0,"徽州 木雕
",1
http://mp.weixin.qq.com/s?__biz=MjM5NTU2NTU2MQ==&amp;mid=200655365&amp;idx=3&amp;sn=54008a0bfc91f5f4011c65a4b8b29c9b&amp;mpshare=1&amp;scene=5&amp;srcid=1216L0zZ1lMwJ3ZAlGIWmA0I,"徽州 石雕
",1
http://mp.weixin.qq.com/s?__biz=MzA5MjMyMTc2NQ==&amp;mid=212143077&amp;idx=1&amp;sn=9e52271312d3516403ed04a06d6c4617&amp;mpshare=1&amp;scene=5&amp;srcid=1216YB3lmPD39BDIjBuQVVvX,"徽州 砖雕
",1
http://mp.weixin.qq.com/s?__biz=MjM5MzQ3MTIwMA==&amp;mid=206816113&amp;idx=1&amp;sn=d2a77b03075483eedf22ce99ad13d2c5&amp;mpshare=1&amp;scene=5&amp;srcid=1216n6tnNb5e7IWe5glC36De,"徽州 最 美 十 大 古镇
",1
http://mp.weixin.qq.com/s?__biz=MjM5MzQ0NTUyOA==&amp;mid=2649755117&amp;idx=1&amp;sn=14e86a144677b7dfcacb33187f093b11&amp;chksm=,"桃源 古 巷 私语
",1
http://mp.weixin.qq.com/s?__biz=MjM5OTc1NDAxMg==&amp;mid=2652057629&amp;idx=1&amp;sn=bb9a22b3c17149477419ab43a4c7cadf&amp;chksm=,"【 徽州 】 歙县 磻溪 从古至今 （ 二 ）
",1
