url,title,summary,topic
http://www.hzwh.com/article.asp?id=1316,用心灵感悟徽文化的博大精深,宋代兴起的理学是儒家思想的一个流派，明清两代达到巅峰，与中国几千年的文化具有统一性，又呈现多样性的趋势，当时儒学思想深入到社会的各个层面，并渗透到农村 建筑文化是可视性的文化，黄山文脉内涵中的古民居、古村落、古寺庙、古亭榭等都融入了先人的文化理念和追求，门窗的朝向、天井的设计等，都昭示着风水文化的无处不在 “天下第一等好事是读书”“万善孝为先”等,6
http://www.hzwh.com/article.asp?id=1203,清末民初徽商兴办实业教育,清光绪末年，休宁茶商戴琴泉等在屯溪朱里成立农业公司，栽桑养蚕，同时创办了初等农业学堂，培养蚕桑人才，服务于公司 ”宣统二年，茶商吴俊德捐巨资，在阳湖创办徽州农业学堂，亦以蚕桑为主科 此外，    年，徽州商界人士与徽州六县省议会议员及学界人士共同发起，以紫阳书院产业为基金，办起了新安公立甲种商业学校：    年，绩溪商人——芜湖明远电灯公司经理吴兴同与同事周协恭、上海亚东图书馆汪孟邹等在绩溪创办了惠民染织传习所，并设厂传技,17
http://www.hzwh.com/article.asp?id=907,新安画派的绘画风格,新安大好山水为当地画家提供了很好的范本，更是他们从中汲取创作灵感的源泉 新安画派注重对自然的细致观察，多次深入新安山水之中，观察、体验，积累创作素材 新安画派画家深受徽州文化的熏陶，都具有深厚的学养，很多人既是诗人、书法家、篆刻家，同时又精通儒、释、道,14
http://www.xinhs.cn/article.asp?id=38700,安徽大学研究生在茗洲村开展徽州人生仪礼课题调查活动,实地考察中，民俗专业的学生与村中  多岁的老人座谈，详细地了解了这个古老村落的婚庆、丧葬习俗，并参观了正值新婚的村民家庭和村落现存的古徽州民居 特别是反映徽州吴氏家族规范、宗教礼仪活动的《茗洲吴氏家典》，对于了解徽州的宗法结构和礼仪方式、民间习俗都有较高的参考价值，堪称徽州礼教的典范，是研究徽州文化的重要史料，在当今构建和谐社会仍有着重要意义 学生们一致认为，此次活动使他们直接了解到了茗洲村特有的婚丧文化，为徽州人生仪礼课题调查增添了一笔不可或缺的财富,15
http://www.xinhs.cn/article.asp?id=80495,新安地理练江上的古歙三桥,其中著名的要算建于明朝的太平桥、万年桥和紫阳桥了，三座桥又合称古歙三桥，如长虹卧波一样，横跨在练江之上 原来，在太平桥所在的地方，曾有座木浮桥，始建于宋端平元年，由徽州郡守刘炳所建造，这座名为“庆丰桥”的木浮桥，不是毁于战乱，就是被洪水所冲坏，明代弘治年间，这里建起了石拱桥 练江之水缓缓地从太平桥经过，流淌了两三里路，便到了惊涛拍岸的渔梁坝，古歙三桥中的另一座石桥，高大、宽阔的紫阳桥，就横跨在渔梁坝下游,14
http://www.xinhs.cn/article.asp?id=3400,保护历史文化 《黟县倡议》诞生,倡议书指出，随着现代化和城镇化进程的加快，一些历史文化村镇受到现代经济活动的影响，传统风貌遭受不同程度的破坏，历史文脉和传统建筑艺术丢失了应有的根基，如何保护和利用好这些历史文化资源，成为当前的重要责任和迫切任务 会上，来自全国各省市的  处中国历史文化名镇（村）代表，共同宣读了关于历史文化名镇（村）保护的《黟县倡议书》，黟县宏村、四川省平乐镇、江苏省同里镇和北京市斋堂镇等中国历史文化名镇（村）代表进行了交流发言，介绍各自历史文化资源保护和发展方面取得的成功经验 据了解，此次研讨会将于  月 日结束，会议期间，陈晓丽及中国城市规划设计研究院研究员赵中枢、清华大学教授张杰、同济大学城市规划学院教授周俭、黄山市城市规划院院长万国庆等专家将就中国历史文化资源的保护与开发等方面内容进行交流研讨,6
http://www.xinhs.cn/article.asp?id=80557,胡适的家庭教育观：强调做母亲一定要有耐心,在文中，胡适强调“这家庭教育最重要的便是母亲”，所以，“现在要改良家庭教育，第一步便要开办女学堂” 在这封信里，胡适虽然只是自责，但既然他认为，女儿是因为治疗不当被“糟掉”的，父亲难辞其咎，做母亲的，难道就没有责任 尽管思杜念书不成，被赶回国，胡适失望归失望，但还是很宽容地对待了儿子，他说：“后来他回来了，我也没有责备他,17
http://www.xinhs.cn/article.asp?id=77007,徽商在构建法治社会中的民间尝试,徽商系旧徽州府籍的商人总称，俗称“徽帮” 徽州商人在长期的创业经商活动中形成了独特的徽商精神，徽商精神可以集中概括为以下几个方面： 这些涉及经营活动方方面面的契约文书，表明徽州商人依靠“约”和“法”来维护权益、协调关系，形成了凡事“立字为据”的习惯，实际上是徽商致力于构建法治社会的一种民间尝试,10
http://www.xinhs.cn/article.asp?id=80558,徽州文化之书院春秋,书院右侧的宠教祠，以及镌刻在墙桓门额上的“源头活水”四个字，都表达了徽州人尊师重教的大众心理 竹山书院在此之后果然出了不少人才，这当中最有名的，当首推曹文埴、曹振镛父子尚书 可以肯定的一点是，在徽州，书院与地方文化，以及历史是密不可分的,7
http://www.xinhs.cn/article.asp?id=80242,舒绣文最后的日子,舒绣文的病越来越严重了 到了晚上，舒绣文更是坐立不安，她一直不停地念叨：“怎么青云还不来看我”最后，她终于躺在床上一动不动，好似已经进入梦乡 这时，舒绣文又瞪大眼睛，一会儿喊兆元，一会儿又喊青云，大家顿时不知所措，连护理员也被吓呆了,6
http://www.xinhs.cn/article.asp?id=77694,徽派雕刻,徽州石雕题材受雕刻材料本身限制，不及木雕与砖雕复杂，主要是动植物形象、博古纹样和书法，至于人物故事与山水则较为少见 徽州石雕在雕刻风格上，浮雕以浅层透雕与平面雕为主，圆雕整合趋势明显，刀法融精致于占朴大方，没有清代木雕与砖雕那样细腻繁琐 坦西递凝瑞堂大道旁有一对保存完好的黟县青大理石石雕宝瓶，其瓶身所饰山水云雾花纹图案，采用了浮雕与镂空雕刻相结合的手法，令人叹为鬼斧神工,8
http://www.xinhs.cn/article.asp?id=12138,徽商梦遇义“东家”,古时候，休北兰田磻溪，有位在武汉做土特产生意的年轻人第一次回乡探亲，肩挑行囊孤身一人行走在回乡的古道上，头两天，他走的还比较顺利，到了第三天头上，遇一三岔路口，只因小时跟人外出学徒去时走过一回，此次回来，年轻人已不记得到底该走哪个路口了，凭感觉，他给自己选了一个路口，走啊走，走了整整一下午，按说，五里该有一个茶亭，但走到傍晚，一路上也没瞧见一个供人歇息的茶亭，年轻人这才知道自己真正走错道了，想沿原路返回，天色已完全暗了下来，年轻人这时又饥又渴，真想找个地方躺下好好歇息一晚，但眼前这前不着村、后不着店的，到哪里去找歇息的地方，想想还不如咬牙再往前走几步，兴许前面真有个村庄呢 年轻人摸黑往前走了约莫一里路，发现前面隐隐约约有灯火，走进前一看，还真是个乡村，只见一家家大厅大屋，灯火明亮，靠近村头的这家还养着一条狗，正蜷伏在门前打盹，见有人走近，起身“汪、汪、汪”地叫个不停，兴许是狗叫声惊动了屋里的主人，只见大门“吱呀”一声打开了，一位慈眉善目、满头白发的老太太迎了出来，年轻人赶忙放下肩上的行囊，走上前，双手作揖道：“老人家，打扰了，只因天色黑暗，看不见赶路，想在您家借宿一晚，不知可否 ，他不由得围着眼前这个乱草丛生的坟堆打起转来，当快要转到坟头的时候，突然，他骇得紧捂嘴巴后退了好几步，原来他看见坟头的深柴林里，有一只碗口粗的臭草花蛇（乌梢蛇）盘得有箩筛那么大，自小到大，他还从未看见如如此大的臭草花蛇，惊吓之余，年轻人似有所悟，原来眼前这只大臭草花蛇不就是昨晚梦中“东家”那只看家护院的狗吗,10
http://www.99huizhou.com/forum.php?mod=viewthread&tid=154623&extra=page%3D5%26filter%3Dtypeid%26typeid%3D161,转方利山文：        纪念胡适诞辰122周年,文化有特殊重大贡献的徽州大学者，他的思想学术不仅影响五四时代，而且影响中国的今天和明天，“胡适研究热”仍将持续，“永远的胡适”使“永远的上庄”未来的发展充满生机活力，上庄的发展大有空间，前景美好 继续进行“保徽”、“护徽”、“复徽”的村容风貌整治，尽量保护徽派古村落外观整体原生态，有序修复上庄村内代表性文化古建筑，当年上庄作为徽州深山中的“小上海”名闻四方，上庄发展的外部形象有许多实事要做 要善用人脉资源，着手由中国胡适研究会和绩溪胡适研究会、台湾胡适纪念馆合办的    胡适学术国际研讨会，广聚人气，扩大影响，要以胡适的包容开放精神开展胡适学术研究和推介，提升上庄知名度,17
http://www.99huizhou.com/forum.php?mod=viewthread&tid=93519&extra=page%3D2%26filter%3Dtypeid%26typeid%3D13,徽州唐氏三先生（唐元字長孺、唐桂芳字仲實、唐文鳳字子儀）生平介紹,徽州唐氏三先生（唐元字長孺、唐桂芳字仲實、唐文鳳字子儀）生平介紹-人文徽州-故园徽州网 -                    全書含唐元《筠軒集》十三卷、唐桂芳《白雲集》七卷、唐文鳳《梧岡集》十卷，前列諸集原序，後附以傳記銘志之文三卷，共計三十三卷 王達（字達善）：“觀夢鶴先生子儀唐公之詩文，詞順理明，鏗鏘瀏亮，聲戞金玉，讀之使人不厭,7
http://www.99huizhou.com/forum.php?mod=viewthread&tid=164439&extra=page%3D3%26filter%3Dtypeid%26typeid%3D13,湖北沙市最早的电灯公司为徽商所开,最值得写入沙市近现代史的要数沙市电气公司的开办，开办者就是徽商吴盘甫 开办者吴盘甫，年轻时受“公车上书”及“洋务运动”新思潮影响，以实业救国为理念，把商业资本转为工业投资，曾入股川商正明面粉厂，后抽走入股的流动资金购置发电设备，创办沙市电气公司，任董事长 徽商活跃于沙市，且都具有较高文化修养,10
http://www.99huizhou.com/forum.php?mod=viewthread&tid=20775&extra=page%3D13%26filter%3Dtypeid%26typeid%3D14,[转贴]徽语的特点和分区,该书提出皖南徽语的  项共同特征：（ ）古全浊声母一律清化，读塞音塞擦音的字大都送气 赵日新（    ）讨论徽语的形成特点，将徽语跟周边的吴语、江淮官话和赣语进行比较，指出，徽语的底子是古吴语，所以从发生学角度来看，即便徽语在后期的发展中受其他方言特别是权威方言的影响而混入了其他方言的一些特点，或各自独立发展出一些新的特点，但这些特点还不足以使徽语“官话化”，徽语是受官话影响较大的吴语，可以归入吴语，成为吴语的“徽严片” 《地图集》区分汉语方言的首要标准是古全浊声母的今读这一早期历史性条件，徽语古全浊声母“清化后塞音塞擦音部分字送气部分字不送气，其间没有语音条件,18
