,year,title,authors
0,1999,Technical analysis of the financial markets: References A comprehensive guide to trading methods and applications,Murphy J.J.
1,1966,Mutual fund performance. The Journal of Memory-based control with recurrent neural networks,Sharpe W.F.
2,2014,Deterministic policy gradient algorithms,Silver D.
3,1965,Fuzzy sets,Zadeh L.A.
4,1997,Learning temporally encoded,Ruf B.
5,2002,Spiking Neuron Models. patterns in networks of spiking neurons,W. Gerstner
6,2005,Comparison of Supervised,Kasiński A.
7,1999,Paradigms for computing with spiking Learning Methods for Spike Time Coding in Spiking Neural neurons,Maass W.
8,2001,Efficient,Natschläger T.
9,2005,What can a,Legenstein R.
10,2017,The option-critic architecture,Bacon Pierre-Luc
11,1993,Feudal reinforcement learning,Dayan Peter
12,2018,Automatic goal generation for reinforcement learning agents,Florensa Carlos
13,2020,Relay policy learning: Solving long-horizon tasks via imitation and reinforcement learning,Gupta Abhishek
14,2018,Context-aware symptom checking for disease diagnosis using hierarchical reinforcement learning,Kao Hao-Cheng
15,2016,Hierarchical deep reinforcement learning: Integrating temporal abstraction and intrinsic motivation,Kulkarni Tejas D.
16,2019,Learning multi-level hierarchies with hindsight,Levy Andrew
17,2017,A Laplacian framework for option discovery in reinforcement learning,Machado Marlos C.
18,2001,Automatic discovery of subgoals in reinforcement learning using diverse density,McGovern Amy
19,2002,Q-cut—Dynamic discovery of sub-goals in reinforcement learning,Menache Ishai
20,2018,Data-efficient hierarchical reinforcement learning,Nachum Ofir
21,2017,FeUdal networks for hierarchical reinforcement learning,Vezhnevets Alexander Sasha
22,2020,Hierarchical cooperative multi-agent reinforcement learning with skill discovery,Yang Jiachen
23,1975,A new approach to manipulator control: The cerebellar model articulation controller (CMAC,Albus J.S.
24,2002,Noisy Optimization with Evolution Strategies,Arnold D.V.
25,2005,"Convergence results for the (1, λ)-SA-ES using the theory of φ -irreducible Markov chains, Theoret",Auger A.
26,2005,A restart CMA evolution strategy with increasing population size,Auger A.
27,1983,Neuronlike elements that can solve difficult learning control problems,Barto A.G.
28,2001,"The Theory of Evolution Strategies, Nat",Beyer H.-G.
29,2007,Evolution strategies,Beyer H.-G.
30,2002,Evolution strategies: A comprehensive introduction,Beyer H.-G.
31,1999,"Evolution neural networks, games, and intelligence, Proc",Chellapilla K.
32,2007,Model of birdsong learning based on gradient estimation by dynamic perturbation of neural conductances,Fiete I.R.
33,2008,"Neuroevolution: From architectures to learning, Evol",Floreano D.
34,1999,Solving non-markovian tasks with neuroevolution,Gomez F.
35,2006,Efficient non-linear control through neuroevolution,Gomez F.
36,2008,Accelerated neural evolution through cooperatively coevolved synapses,Gomez F.
37,1996,A comparison between cellular encoding and direct encoding for genetic neural networks,Gruau F.
38,2006,The CMA evolution strategy: A comparing review,Hansen N.
39,2003,Reducing the time complexity of the derandomized evolution strategy with covariance matrix adaptation (CMA-ES,Hansen N.
40,2001,"Completely derandomized self-adaptation in evolution strategies, Evol",Hansen N.
41,2008,Evolution strategies for direct policy search,Heidrich-Meisner V.
42,2008,Similarities and differences between policy gradient methods and evolution strategies,Heidrich-Meisner V.
43,2008,Variable metric reinforcement learning methods applied to the noisy mountain car problem,Heidrich-Meisner V.
44,2003,Neuroevolution for reinforcement learning using evolution strategies,Igel C.
45,2008,Learn,Igel C.
46,2001,Optimization of dynamic neural field,Igel C.
47,2006,"How the (1 + 1) ES using isotropic mutations minimizes positive definite quadratic forms, Theoret",Jägersküpper J.
48,2002,A natural policy gradient,Kakade S.
49,2002,A comparison of evolution strategies and backpropagation for neural network training,Mandischer M.
50,1968,BOXES: An experiment in adaptive control,Michie D.
51,1996,"Efficient reinforcement learning through symbiotic evolution, Mach",Moriarty D.E.
52,1999,Evolutionary algorithms for reinforcement learning,Moriarty D.E.
53,2005,Making driver modeling attractive,Pellecchia A.
54,2008,Natural actor-critic,Peters J.
