segments,count,ratio
徽州,12799,0.630705745883
文化,8661,0.426794473403
徽商,3755,0.185037899507
中国,3001,0.147882486397
徽,2927,0.144235933917
历史,2711,0.133591942893
发展,2565,0.126397393405
胡,2485,0.122455174507
村,2483,0.122356619035
古,2411,0.118808622027
汪,2268,0.111761905747
黄山,2192,0.108016797795
歙县,2172,0.10703124307
山,1971,0.0971264180901
研究,1892,0.0932334769287
家,1880,0.092642144094
他们,1801,0.0887492029326
成,1712,0.084363484409
程,1709,0.0842156512004
社会,1686,0.0830822632673
名,1611,0.0793864330508
新安,1490,0.0734238269681
王,1473,0.0725861054524
会,1461,0.0719947726177
字,1456,0.0717483839366
建筑,1434,0.0706642737398
休宁,1401,0.0690381084445
新,1393,0.0686438865548
茶,1370,0.0675104986217
传统,1347,0.0663771106886
成为,1342,0.0661307220075
去,1311,0.0646031121847
县,1304,0.0642581680312
可,1270,0.0625827249997
吴,1206,0.0594289498816
重要,1199,0.059084005728
没有,1193,0.0587883393107
书,1193,0.0587883393107
教育,1174,0.0578520623225
经济,1173,0.0578027845863
商,1173,0.0578027845863
余,1163,0.0573100072241
安徽,1155,0.0569157853344
高,1142,0.0562751747635
先生,1134,0.0558809528737
朱,1129,0.0556345641926
道,1123,0.0553388977753
位,1119,0.0551417868304
明,1118,0.0550925090942
精神,1109,0.0546490094682
学,1100,0.0542055098422
时期,1098,0.0541069543698
清,1097,0.0540576766336
保护,1084,0.0534170660627
当时,1080,0.0532199551178
形成,1078,0.0531213996454
做,1075,0.0529735664367
江,1060,0.0522344003934
适,1057,0.0520865671848
经营,1056,0.0520372894486
间,1056,0.0520372894486
墨,1046,0.0515445120864
前,1045,0.0514952343501
天,1025,0.0505096796257
称,1005,0.0495241249013
活动,985,0.0485385701769
影响,978,0.0481936260234
旅游,972,0.0478979596061
书院,971,0.0478486818698
处,971,0.0478486818698
思想,971,0.0478486818698
石,966,0.0476022931887
村落,962,0.0474051822439
黟县,954,0.0470109603541
地方,950,0.0468138494092
建,947,0.0466660162005
水,942,0.0464196275194
生活,939,0.0462717943108
商人,936,0.0461239611021
岁,934,0.0460254056297
工作,927,0.0456804614761
婺源,921,0.0453847950588
进行,921,0.0453847950588
主要,915,0.0450891286415
族,913,0.0449905731691
艺术,900,0.0443499625982
全国,899,0.044300684862
进,899,0.044300684862
张,895,0.0441035739171
看,879,0.0433151301376
明清,873,0.0430194637203
见,864,0.0425759640943
卷,860,0.0423788531494
方,835,0.0411469097439
地区,833,0.0410483542714
绩溪,830,0.0409005210628
元,825,0.0406541323817
正,825,0.0406541323817
明代,825,0.0406541323817
建设,824,0.0406048546455
外,820,0.0404077437006
座,818,0.0403091882281
六,813,0.040062799547
作,812,0.0400135218108
徽派,811,0.0399642440746
走,799,0.03937291124
行,793,0.0390772448226
们,790,0.038929411614
长,788,0.0388308561415
开,785,0.0386830229329
具有,775,0.0381902455707
经商,774,0.0381409678345
记载,772,0.038042412362
溪,770,0.0379438568896
宗族,768,0.0378453014171
写,767,0.0377960236809
堂,763,0.037598912736
这种,762,0.0375496349998
屯溪,756,0.0372539685825
方面,753,0.0371061353738
文,753,0.0371061353738
商业,752,0.0370568576376
"。
",749,0.0369090244289
著名,740,0.036465524803
民间,740,0.036465524803
许,739,0.0364162470667
这里,722,0.035578525551
志,719,0.0354306923423
清代,700,0.0344944153542
黄,699,0.0344451376179
分,693,0.0341494712006
黄山市,684,0.0337059715746
唐,681,0.033558138366
代,680,0.0335088606297
李,675,0.0332624719486
祠堂,672,0.03311463874
老,672,0.03311463874
事,671,0.0330653610038
国家,663,0.032671139114
认为,661,0.0325725836416
朱熹,661,0.0325725836416
世界,659,0.0324740281691
西,651,0.0320798062794
均,647,0.0318826953345
镇,645,0.031784139862
米,645,0.031784139862
号,632,0.0311435292912
首,628,0.0309464183463
自然,620,0.0305521964565
祁门,619,0.0305029187203
"）
",618,0.0304536409841
贾,618,0.0304536409841
内容,617,0.0304043632479
乡,617,0.0304043632479
徽学,614,0.0302565300392
学者,609,0.0300101413581
特色,608,0.0299608636219
门,608,0.0299608636219
民居,605,0.0298130304132
发现,600,0.0295666417321
理学,600,0.0295666417321
姓,599,0.0295173639959
文书,591,0.0291231421062
图,586,0.028876753425
环境,580,0.0285810870077
乾隆,579,0.0285318092715
居,579,0.0285318092715
早,578,0.0284825315353
子,578,0.0284825315353
罗,572,0.028186865118
刻,571,0.0281375873817
特别,570,0.0280883096455
南,570,0.0280883096455
府,568,0.0279897541731
关系,566,0.0278911987006
陈,565,0.0278419209644
知,564,0.0277926432282
市场,559,0.0275462545471
学术,555,0.0273491436022
遗产,553,0.0272505881298
读书,553,0.0272505881298
价值,551,0.0271520326573
以后,551,0.0271520326573
入,550,0.0271027549211
越,549,0.0270534771849
茶叶,545,0.02685636624
岭,545,0.02685636624
产业,545,0.02685636624
问题,539,0.0265606998227
已经,536,0.026412866614
重,535,0.0263635888778
美,534,0.0263143111416
副,532,0.0262157556692
上海,532,0.0262157556692
代表,530,0.0261172001967
宗,529,0.0260679224605
官,529,0.0260679224605
宋,526,0.0259200892518
店,526,0.0259200892518
时代,524,0.0258215337794
国,520,0.0256244228345
达,520,0.0256244228345
古代,519,0.0255751450983
市,519,0.0255751450983
盐,519,0.0255751450983
龙,517,0.0254765896259
作用,514,0.0253287564172
应,513,0.025279478681
