url,segments,flag
http://www.360doc.com/content/16/1010/15/28029384_597353740.shtml,"听 张 脉贤 先生 说 徽 文化
",1
http://www.360doc.com/content/16/0617/22/7794234_568642540.shtml,"没有 徽州 哪 来 安徽 ， 哪 来 “ 徽 文化 ” ？
",1
http://www.360doc.com/content/16/0422/21/7839659_552956008.shtml,"也 说 徽州 ｜徽 文化 ： 中国 封建社会 后期 的 典型 标本
",1
http://www.360doc.com/content/16/0520/14/4602914_560710378.shtml,"徽 文化 之 旅 （ 皖南 行 之一 ）
",1
http://www.360doc.com/content/13/1130/15/137012_333421761.shtml,"徽 文化
",1
http://www.360doc.com/content/16/0329/23/150887_546398070.shtml,"《 徽州 文化 大 辞典 》 首发 徽 文化 首部 百科全书 式 工具书 问世
",1
http://www.360doc.com/content/16/0625/19/2794318_570702823.shtml,"徽 文化 的 一 朵 奇葩 ------ 旌德
",1
http://www.360doc.com/content/16/0427/13/32759971_554221669.shtml,"徽州 文化
",1
http://www.360doc.com/content/13/1130/15/137012_333423074.shtml,"徽 文化 特点 是 什么 ？
",1
http://www.360doc.com/content/15/0427/23/13477377_466473215.shtml,"【 日本 家徽 文化 】 详解
",1
http://www.360doc.com/content/16/1015/00/5545997_598514013.shtml,"古 徽州 文化 旅游
",1
http://www.360doc.com/content/15/0105/23/13276094_438495373.shtml,"关于 率先 启动 徽州 文化 生态 保护 实验区 建设 的 建议案
",1
http://www.360doc.com/content/13/1130/15/137012_333422706.shtml,"“ 徽 文化 ” 2
",1
http://www.360doc.com/content/13/1130/15/137012_333420327.shtml,"谈谈 徽 文化 研究 的 现实 意义
",1
http://www.360doc.com/content/13/1130/15/137012_333420737.shtml,"徽州 文化
",1
http://www.360doc.com/content/16/0325/14/4958641_545143866.shtml,"徽州 文化 博物馆
",1
http://www.360doc.com/content/15/0107/11/3133160_438838920.shtml,"南京 周 园 之 八 徽 文化 体验 中心
",1
http://www.360doc.com/content/15/0526/02/18960088_473267356.shtml,"石 与 刀 的 碰撞 ： 凝固 徽 文化 符号 的 徽州 石雕
",1
http://www.360doc.com/content/16/0808/18/11005683_581737708.shtml,"国家 最新 A A A A A 级 景区 —— 徽州 文化园
",1
http://www.360doc.com/content/09/1029/11/385412_8030999.shtml,"徽 文化 系列 之—— 东南 邹鲁 ” 今 何在
",1
http://www.360doc.com/content/14/1125/10/5896561_427879912.shtml,"9 家 国家 5 A 级 旅游 景区 名单 公示 古 徽州 文化 旅游区 上榜
",1
http://www.360doc.com/content/16/0314/11/10580899_542068671.shtml,"看 徽州 文化 旅游区 如何 探索 全域 旅游
",1
http://www.360doc.com/content/15/1006/13/14979747_503596273.shtml,"论 明清 徽州 文化 的 阶段性 发展
",1
http://www.360doc.com/content/16/0803/14/150887_580483445.shtml,"走 进 黄山 徽州 文化园
",1
http://www.360doc.com/content/12/0811/09/8413713_229534334.shtml,"安徽 徽 文化 慱物 馆 古代 大型 砚台 展
",1
http://www.360doc.com/content/14/1224/18/18892371_435477879.shtml,"黄山 古 徽州 文化 旅游区 1
",1
http://www.360doc.com/content/16/0126/17/10603700_530716596.shtml,"古 徽州 文化 旅游区 创建 国际 特色 旅游 目的地 ， 安徽省 唯一 ！
",1
http://www.360doc.com/content/16/0401/10/5896561_547016841.shtml,"《 徽州 文化 大 辞典 》 首发式 举行 （ 图 ）
",1
http://www.360doc.com/content/16/0511/09/7839659_558152465.shtml,"南 书房 |徽 文化 之 千 年 的 徽墨
",1
http://www.360doc.com/content/11/0903/11/7635148_145439397.shtml,"走近 徽州 文化 鲍 家 花园 之 古风 今 看 （ 图 ）
",1
http://www.360doc.com/content/11/0607/11/2717084_122187303.shtml,"《 徽州 文化 生态 保护区 总体 规划 》 正式 实施 - 徽州 - 中 安 在线 - 全 媒体
",1
http://www.360doc.com/content/17/0110/14/14028072_621521573.shtml,"徽州 文化 —— 风水 尤 重 数 徽 人
",1
http://www.360doc.com/content/11/0610/10/4160062_122859622.shtml,"黄山区 ， 徽 文化 的 发源地 之一 （ 实地 照片 为 证 ）
",1
http://www.360doc.com/content/10/1229/16/1147381_82350078.shtml,"让 游客 畅游 “ 徽州 文化 之 海 ”
",1
http://www.360doc.com/content/13/1130/14/137012_333414167.shtml,"徽州 文化 的 基本 内容
",1
http://www.360doc.com/content/16/1103/06/4616719_603534316.shtml,"游 安徽 不得不 玩 的 精品 线路 |古 徽州 文化 体验 游
",1
http://www.360doc.com/content/15/1107/22/8780464_511544554.shtml,"徽商 和 徽州 文化 的 是 如何 起源 的 ？
",1
