url,title,segment,target
http://news.163.com/16/1216/11/C8DFAFMP00018AOP.html,停止“徽文化”的“异地保护”,"停止 “ 徽 文化 ” 的 “ 异地 保护 ”
",1
http://news.163.com/16/1210/14/C7UAMRR3000187V5.html,30余位中外书画家皖南体验“徽文化”,"30 余 位 中外 书画家 皖南 体验 “ 徽 文化 ”
",1
http://www.ah.xinhuanet.com/20161214/3576901_c.html,30余位中外书画家安徽体验“徽文化”,"30 余 位 中外 书画家 安徽 体验 “ 徽 文化 ”
",1
http://news.163.com/16/1129/10/C71J7CQL000187VI.html,黄山:“活态”传承徽文化,"黄山 : “ 活 态 ” 传承 徽 文化
",1
"http://stock.eastmoney.com/news/1354,20161209691914768.html",黄山旅游:旅游与徽文化融合,"黄山旅游 : 旅游 与 徽 文化 融合
",1
http://v.ifeng.com/news/society/201610/017002e4-89ca-11e6-9b3a-002590c2aaeb.shtml,安徽徽文化博物馆:梦回古徽州,"安徽 徽 文化 博物馆 : 梦 回 古 徽州
",1
http://news.sina.com.cn/c/2016-10-01/doc-ifxwmamz0165378.shtml,徽州古城今日人气旺 游客看大戏游古街品徽文化,"徽州 古城 今日 人气 旺 游客 看 大戏 游 古街 品 徽 文化
",1
http://news.xinhuanet.com/city/2016-09/28/c_129303683.htm,唤醒徽文化“活化石”,"唤醒 徽 文化 “ 活化石 ”
",1
http://finance.qq.com/a/20160928/012414.htm,徽文化沙龙 解密徽商之道,"徽 文化 沙龙 解密 徽商 之 道
",1
http://ah.people.com.cn/n2/2016/1207/c351992-29427308.html,黄山市屯溪区黎阳镇:加快徽文化传统旅游产业发展,"黄山市 屯溪区 黎 阳 镇 : 加快 徽 文化 传统 旅游 产业 发展
",1
http://news.21cn.com/caiji/roll1/a/2016/0924/14/31570113.shtml,合肥万达城24日开业 徽文化遇上世界级娱乐,"合肥 万 达 城 24日 开业 徽 文化 遇 上 世界级 娱乐
",1
http://finance.sina.com.cn/roll/2016-09-24/doc-ifxwermp3788476.shtml,合肥万达城盛大开业 徽文化特色鲜明,"合肥 万 达 城 盛 大 开业 徽 文化 特色 鲜明
",1
http://fj.china.com.cn/p/251971.html,行走徽杭古道 体验徽州文化,"行走 徽 杭 古道 体验 徽州 文化
",1
http://cs.zjol.com.cn/system/2016/11/27/021382288.shtml,走进徽杭古道 品味徽州文化,"走 进 徽 杭 古道 品味 徽州 文化
",1
