url,segments
http://news.163.com/16/1216/11/C8DFAFMP00018AOP.html,"停止 “ 徽 文化 ” 的 “ 异地 保护 ”
"
http://news.163.com/16/1210/14/C7UAMRR3000187V5.html,"30 余 位 中外 书画家 皖南 体验 “ 徽 文化 ”
"
http://www.ah.xinhuanet.com/20161214/3576901_c.html,"30 余 位 中外 书画家 安徽 体验 “ 徽 文化 ”
"
http://news.163.com/16/1129/10/C71J7CQL000187VI.html,"黄山 : “ 活 态 ” 传承 徽 文化
"
"http://stock.eastmoney.com/news/1354,20161209691914768.html","黄山旅游 : 旅游 与 徽 文化 融合
"
http://v.ifeng.com/news/society/201610/017002e4-89ca-11e6-9b3a-002590c2aaeb.shtml,"安徽 徽 文化 博物馆 : 梦 回 古 徽州
"
http://news.sina.com.cn/c/2016-10-01/doc-ifxwmamz0165378.shtml,"徽州 古城 今日 人气 旺 游客 看 大戏 游 古街 品 徽 文化
"
http://news.xinhuanet.com/city/2016-09/28/c_129303683.htm,"唤醒 徽 文化 “ 活化石 ”
"
http://finance.qq.com/a/20160928/012414.htm,"徽 文化 沙龙 解密 徽商 之 道
"
http://ah.people.com.cn/n2/2016/1207/c351992-29427308.html,"黄山市 屯溪区 黎 阳 镇 : 加快 徽 文化 传统 旅游 产业 发展
"
http://news.21cn.com/caiji/roll1/a/2016/0924/14/31570113.shtml,"合肥 万 达 城 24日 开业 徽 文化 遇 上 世界级 娱乐
"
http://finance.sina.com.cn/roll/2016-09-24/doc-ifxwermp3788476.shtml,"合肥 万 达 城 盛 大 开业 徽 文化 特色 鲜明
"
http://fj.china.com.cn/p/251971.html,"行走 徽 杭 古道 体验 徽州 文化
"
http://cs.zjol.com.cn/system/2016/11/27/021382288.shtml,"走 进 徽 杭 古道 品味 徽州 文化
"
http://news.hfhouse.com/html/2486089.html,"【 宝利 丰 广场 】 11月 进度 徽 文化 街区 全面 建设
"
http://365jia.cn/news/2016-11-15/351360F99DB3A22D_2.html,"各类 卡通 包公 亮相 地铁 1 号 线 合肥 首 列 主题 专列 尽显 “ 徽 文化 ”
"
http://news.ifeng.com/a/20160930/50050551_0.shtml,"万 达 徽 文化 主题 乐园 大门 正式 开启 , 探秘 旅程 必不可少 !
"
http://www.ah.xinhuanet.com/edu/zhuanti/jyzxzxd/20161019/3493562_c.html,"歙县 : 传统 徽 文化 与 现代 精神文明 的 融合
"
http://news.163.com/16/0820/19/BUUGR4VK000146BE.html,"近 40 位 海外 文化 侨社 负责人 赴皖 体验 “ 徽 文化 ”
"
http://www.scxxb.com.cn/html/2016/stny_1025/219245.html,"安徽 卢 村 : 保护 徽 文化 建设 新 农村 全力 打造 中国 美丽 休闲 乡村 样板
"
http://news.cctv.com/2016/10/04/VIDEbe3TfBkrYCFmh2mm8Tdu161004.shtml,"[ 看 东方 ] 安徽 徽 文化 博物馆 : 梦 回 古 徽州
"
http://news.cctv.com/2016/10/03/VIDEcx6m1FZ7BxGHl2Dfw3vd161003.shtml,"[ 东方 新闻 ] 安徽 徽 文化 博物馆 : 梦 回 古 徽州
"
http://news.163.com/16/0818/09/BUOAB42200014AED.html,"学子 体验 徽 文化
"
http://www.huaxia.com/xtzx/xcyw/2016/09/5002742.html,"一 次 徽 文化 的 探寻 之 旅 —— 随 访 台湾 基层 人士 参访 团 来 宣 考察 侧记
"
http://news.163.com/16/0810/10/BU3ORCTI00014AED.html,"体验 徽 文化
"
http://paper.people.com.cn/rmrbhwb/html/2016-08/05/content_1701256.htm,"海归 人士 子女 体验 “ 徽 文化 ” - 人民日报 海外版 - 人民网
"
http://news.163.com/16/0804/10/BTKB4U3V00014SEH.html,"贴身 保护 徽 文化 “ 活化石 ”
"
http://news.163.com/16/0801/21/BTDQFHNT00014JB6.html,"海归 人士 子女 体验 “ 徽 文化 ”
"
http://365jia.cn/news/2016-09-24/0791BF6B617FAD97.html,"合肥 庐江 三 食 六 巷 美食街 正式 开 街 打造 徽 文化 旅居 胜地
"
http://www.taiwan.cn/local/anhui/dongtaixinwen/201609/t20160912_11566347.htm,"皖 、 鄂 两 省 青年 台胞 到 歙县 考察 徽 文化
"
http://news.xinhuanet.com/house/hf/2016-07-15/c_1119226261.htm,"雍锦 会客厅 首 期 开讲 徽 文化 传播者 君豪 带 你 用 创意 镌刻 人生
"
http://difang.gmw.cn/newspaper/2016-09/07/content_115984579.htm,"杨 丽萍 : 将 舞蹈 元素 和 徽州 文化 的 魅力 结合 好
"
http://auto.ifeng.com/chengdu/shangqing/2016070610124.shtml,"蔚 揽 旅行 轿车 280 T S I 带 您 领略 徽州 文化
"
http://www.ahwang.cn/hefei/20160902/1556198.shtml,"巢湖 学院 大学生 赴 歙县 考察 徽 文化
"
http://www.eastobacco.com/luyanshichuang/201608/t20160829_409179.html,"“ 红方 印 ” 中 的 徽 文化
"
http://www.taiwan.cn/local/anhui/dongtaixinwen/201608/t20160816_11539265.htm,"2016 台湾 青年 学生 徽 文化 夏令营 在 滁州市 开营
"
http://news.ifeng.com/a/20160712/49337760_0.shtml,"花为媒 唱 响 徽 文化 塑 品牌 做好 徽 文章
"
http://www.chinaqw.com/hwjy/2016/07-20/95977.shtml,"海外 华裔 青少年 赴 安徽 黄山 感知 徽州 文化
"
http://news.xinhuanet.com/mrdx/2016-07/28/c_135547039.htm,"徽州 文化园 “ 徽州 记忆 ” 活动 剪影
"
http://ah.anhuinews.com/system/2016/11/09/007502064.shtml,"绩溪 举办 中国 徽菜 美食 文化 旅游节
"
http://www.ah.xinhuanet.com/20160728/3318438_c.html,"26 个 国家 青年 汉学家 来 安徽 考察 徽州 文化
"
http://news.163.com/16/0607/11/BOV355M500014AED.html,"“ 窗口 ” 传承 徽 文化
"
http://news.163.com/16/0603/11/BOKPBHO700014JB6.html,"古 民居 保护 的 黄山 “ 模式 ” : 守 住 徽 文化 “ 筋骨肉 ”
"
http://epaper.anhuinews.com/html/ahsb/20160725/article_3468619.shtml,"创 文 旅 新 格局 传 中华 徽 文化
"
http://www.edu777.com/jiaoyu/22737.html,"第八 届 全国 “ 徽 文化 ” 研究生 暑期 学校 开学
"
http://news.163.com/16/0527/11/BO2O1QKP00014AEE.html,"徽州 私人 藏书 贡献 徽 文化 发展 ( 图 )
"
http://epaper.hf365.com/sqb/gxxw/html/2016-07/14/content_214689.htm,"感受 徽 文化 走 进 博物馆
"
http://money.163.com/16/0521/03/BNIEJLBP00253B0H.html,"推动 徽 文化 走向 世界
"
http://www.soupu.com/news/684425,"合肥 万 达 城门 票 发布 ! 218 元 如何 玩 转 徽 文化 乐园
"
http://news.cctv.com/2016/06/25/VIDE3acyP5kFhRWoTsE1rNTZ160625.shtml,"[ 安徽 新闻 联播 ] 新 创 黄梅戏 《 不 越 雷池 》 : 融通 廉政 传统 与 徽 文化
"
http://www.ah.xinhuanet.com/20170106/3610948_c.html,"首 届 《 徽 文化 论坛 》 暨 "" 安徽 地域 文化 与 统战 工作 "" 研讨会 召开
"
http://www.ahwang.cn/ent/20160728/1544899.shtml,"26 个 国家 青年 汉学家 来 安徽 考察 徽州 文化 ( 图 )
"
http://www.ah.chinanews.com/news/2016/0829/13524.shtml,"李 修松 会见 “ 文化 使者 ” 代表团
"
http://ah.anhuinews.com/system/2016/08/22/007442654.shtml,"王 信 出席 “ 文化 中国 之 旅 ” 安徽 行 启动 仪式
"
http://news.ifeng.com/a/20160607/48933329_0.shtml,"协商 聚 力 , 更 好 留住 徽 文化 根脉
"
http://www.ahtv.cn/c/2016/0626/00803382.html,"新创 黄梅戏 《 不 越 雷池 》 : 融通 廉政 传统 与 徽 文化
"
http://news.163.com/16/0513/11/BMUMNC2K00014AEE.html,"鲍 家 花园 之 徽 文化 古风 今 传 ( 组图 )
"
http://news.163.com/16/0512/10/BMS22HIC00014AEE.html,"歙县 徽班 纪念馆 展示 、 传承 徽 文化 ( 图 )
"
http://ah.people.com.cn/n2/2016/0627/c358326-28570334-2.html,"“ 端 ” 行 皖江 抵达 宜城 品 黄梅调 探 徽 文化
"
http://money.163.com/16/0501/13/BLVVHIP900253B0H.html,"黄山 市委 书记 : 让 徽州 文化 留 下来 活 起来 , 是 义不容辞 的 责任
"
http://finance.qq.com/a/20160419/050426.htm,"黄山旅游 : “ 黄山 ( 景区 ) + 徽 文化 ” 双 I P 资源 呼之欲出
"
http://jiangsu.china.com.cn/html/2016/ahnews_0601/5769533.html,"街口 镇 传承 徽 文化 , 徽剧 进 校园
"
http://difang.gmw.cn/newspaper/2016-05/31/content_112861675.htm,"我市 “ 本土 ” 徽 文化 创意 纪念品 喜 获 全国 大奖
"
http://epaper.anhuinews.com/html/jhsb/20160531/article_3438848.shtml,"用 石雕 续 写 “ 徽 文化 ”
"
http://ah.anhuinews.com/system/2016/05/30/007368373.shtml,"黄山 徽 文化 纪念品 喜 获 全国 大奖
"
http://www.newshs.com/tvnews/news/2016/5/26/1464226932175.shtml,"简讯 : 黄山 学院 开展 “ 徽 文化 进 大位 ” 活动
"
http://www.ah.xinhuanet.com/20160518/3149347_c.html,"“ 千古黟 技 匠人 圣地 ” 徽 文化 体验 传承 项目 落户 西 递
"
http://difang.gmw.cn/newspaper/2016-05/20/content_112607985.htm,"让 徽 文化 走 出去 活 起来
"
http://www.newshs.com/tvnews/news/2016/5/16/1463360859241.shtml,"“ 徽 文化 ” 精彩 亮相 2016 深圳 文博 会
"
http://news.21cn.com/caiji/roll1/a/2016/0329/22/30839167.shtml,"“ 徽 文化 ” 首部 百科全书 式 工具书 问世
"
