dt,source,domain,url,title,summary,image,brief,body,raw_page,from
,安徽文化网,,http://www.ahage.net/news/29365.html,旌德 漆画 入选 安徽省 第四 批 非 遗 保护 名录,,,,"
   
    
     
      

旌德漆画参加铜陵非遗展 
 
日前，安徽省人民政府公布了第四批省级非物质文化遗产名录，其中我县传统美术“旌德漆画”入选。包括此前入选的省级非遗名录项目“古法油烟制墨”技艺，我县入选省级非遗名录的项目增加到二项。
近年来，旌德县大力挖掘、整理、保护和传承非物质文化遗产，完成了县“非遗”数字化建设工程，成功申报列入省级非物质文化遗产名录2个，市级非物质文化遗产名录5个（其中，民间手工技艺“天山真香”茶叶制作工艺、“宣石砚”制作工艺、“棕绷”工艺、“竹编” 工艺，人生礼俗“哭嫁”。）建立传承人传承基地7个。这些项目突出历史、文化和科学价值，展现旌德人民文化创造力，世代传承、活态存在，具有鲜明的地域特色和重大影响。
该县非遗申报成功必将促进旌德县非物质文化遗产保护工作的规范化、有序化，进一步让全县人民特别是年轻人对非物质文化遗产有充分的了解，从而提高旌德人的文化自觉性，增强保护意识，把非物质文化遗产的保护变为全民的、自觉的保护行动。（旌德县文化馆 方立东）


    
   
  ",,
,安徽文化网,,http://www.ahage.net/news/29365_2.html,旌德 漆画 入选 安徽省 第四 批 非 遗 保护 名录 ( 2 ),,,,"
   
    
     
      


漆画的技法丰富多彩，依据其技法不同，漆画又可分成刻漆、堆漆、雕漆、嵌漆、彩绘、磨漆等不同品种。漆画有绘画和工艺的双重性



    
   
  ",,
,安徽文化网,,http://www.ahage.net/news/29365_3.html,旌德 漆画 入选 安徽省 第四 批 非 遗 保护 名录 ( 3 ),,,,"
   
    
     
      


旌德漆画用五彩调合漆为颜料绘制而成，具有色彩明朗、深沉浑厚、古朴生动华丽、韵味无穷等特点



    
   
  ",,
,安徽文化网,,http://www.ahage.net/news/29365_4.html,旌德 漆画 入选 安徽省 第四 批 非 遗 保护 名录 ( 4 ),,,,"
   
    
     
      


旌德漆画传承人江延根80岁



    
   
  ",,
,安徽文化网,,http://www.ahage.net/news/29365_5.html,旌德 漆画 入选 安徽省 第四 批 非 遗 保护 名录 ( 5 ),,,,"
   
    
     
      


旌德漆画
 
 


    
   
  ",,
,安徽文化网,,http://www.ahage.net/fengsu/22238.html,民间 婚俗 见证 徽州 微型 “ 撒 帐 书 ” ( 附 撒 帐 歌 ),,,,"
   
    
     
      撒帐是中国民间重要的一种婚姻习俗：洞房花烛之夜，夫妇二人就床对坐，由赞相礼仪者及嘉宾以金钱彩果散掷，称作撒帐。
近世徽州启蒙读物在描摹当地婚俗时这样写道：“接亲到，开轿门，参拜天地，吵新人，吃喜酒，撒帐贺房。”一般说来，供孩童阅读的启蒙读物，通常反映了一地人群日常生活的基本状况。所谓吵新人，亦作“闹房炒新郎”。明末凌濛初的小说《二刻拍案惊奇》就提及：“徽人风俗，专要闹房炒新郎，凡亲戚朋友相识的，在住处所在，闻知娶亲，就携了酒榼前来称庆。说话之间，名为祝颂，实半带笑耍，把新郎灌得烂醉方以为乐。”可见，闹房、贺房之前，撒帐是重要的一道程序。撒帐时所唱之歌称为“撒帐歌”（或曰“撒帐诗”），而民间有关撒帐歌的抄本，就叫做“撒帐书”（或“帐书”）。在徽州，撒帐书的遗存极为繁多，就目前已发现者，就达数十种之多。
此前，笔者在徽州又觅得一册微型撒帐书，极为罕见，是迄今为止所见最小的一种撒帐书。该书长仅6厘米，宽不过5.5厘米。全书除封面外，共计十六页三十二面，每面四行，每行六字。书名曰“账书”（撒帐书的“帐”，民间通常也写成“账”），封面除书名外，有“洞方［房］花烛夜”字样，为民国四年（1915年）抄本。
撒帐之俗相传源于汉武帝，而撒帐歌的内容通常见诸笔记、小说，如《东京梦华录》、《梦粱录》、《说郛》、《快嘴李翠莲》等，而迄今遗存下来的文书资料，比较早期的如唐代敦煌文书中的《婚事程式》。至于目前发现的这册微型撒帐书，封面写有人名“潘正开”，书中逐字均有红笔朱点，并有以后添加内容的文字，据此推测，这应是民间实际使用的撒帐书原件。
大凡是撒帐歌，除了琴瑟和谐的欢庆祝愿外，也总难免不了夹杂着一些“荤话”。西周生的《醒世姻缘传》第四十四回《梦换心方成恶妇，听撒帐早是痴郎》，叙及狄希陈与素姐成婚，拜过天地，牵了红，引进洞房，傧相赞礼，坐床合卺。但见那傧相手里拿了个盒底，里面盛了五谷、栗子、枣儿、荔枝、圆眼，口里高喝低唱，其中有将五谷果子往上一撒，念道：“撒帐上，新人莫得妆模样。晚间上得合欢床，老僧就把钟来撞。”念毕，又把五谷果子往下撒，念道：“撒帐下，新人整顿蛟绡帕。须臾待得雨云收，武陵一树桃花谢。”这些颠鸾倒凤的性事描写，引起了烈燥的新媳妇之不满，顿时发作起来。虽然新人的家人也认为，如此低俗的撒帐诗，绝不应当在新人面前念叨，但从徽州民间发现的大批撒帐歌来看，类似于此的内容并不罕见。《账书》中亦有：“撒帐撒四方，华堂花烛喜洋洋，挂灯结彩凤，今日鸳鸯彩凤接同房，吉日吉时同共枕，半推半就上牙床，云雨合欢谁不乐，如鱼得水笑洋洋，……今满二人花烛夜，生下海而状元郎。”“今满”当为徽州方言，也就是今晚的意思。其实，《醒世姻缘传》和《账书》中的这些撒帐歌，还算是比较文雅的。就目前发现的数十种撒帐书来看，其中不乏更为露骨的性事描写，此无他——撒帐歌虽然源远流长，有比较固定的格式，但在民间社会，喝唱撒帐歌的人往往是即兴而为，众声喧哗的闹房之间，添油加醋的插科打诨极为常见，而且，在一定程度上来说，除了“压箱底”外，撒帐歌亦是新婚夫妇接受男欢女爱性事启蒙的一种形式，因此，对于傧相和亲友的祝福狂欢乃至撒泼笑耍，婚家一般也并不以此为忤。
（作者 王振忠 系复旦大学中国历史地理研究所副所长、教授）


    
   
  ",,
,安徽文化网,,http://www.ahage.net/fengsu/22238_2.html,民间 婚俗 见证 徽州 微型 “ 撒 帐 书 ” ( 附 撒 帐 歌 ) ( 2 ),,,,"
   
    
     
      
撒帐歌
花轿到门前，福寿两双全。
吉星高照起，荣华万万年。
新人下轿来，鼓乐两边排。
亲友齐喝采，添喜又添财。
新人举步往前行，步步季节花儿名。
一步立春雨水来，探春迎春花儿开。
二步惊蛰与春分，红杏花开满树林。
三步清明和谷雨，桃花盛开人欢喜。
四步立夏小满天，风吹葵花开满园。
五步芒种夏至到，石榴花开红似火。
六步小暑大暑临，映日荷花别样新。
七步立秋暑已去，芙蓉花开真如意。
八步白露和秋分，桂子兰花好盈门。
九步寒露霜降天，各色菊花开满园。
十步立冬小雪降，红梅结子花齐放。
十一大雪冬至回，岁寒三友松竹梅。
十二小寒与大寒，洞房花烛好姻缘。
新人走了几十步，香案桌子摆面前。
香炉果子俱摆好，单等新人拜地天。


    
   
  ",,
,安徽文化网,,http://www.ahage.net/fengsu/22238_3.html,民间 婚俗 见证 徽州 微型 “ 撒 帐 书 ” ( 附 撒 帐 歌 ) ( 3 ),,,,"
   
    
     
      
撒帐歌
一撒，天地君亲师（好哇！）
二撒，鸳鸯喜成双（好哇！下略）；
三撒，福禄寿三星
四撒，×氏门中喜盈盈（此句前一字按新郎姓氏填）。
五撒，五福临门早，
六撒，六合同春时；
七撒，古稀夫妇同偕老。
八撒，八洞神仙下凡尘：
汉钟离在前引路，
曹国舅随后而跟；
张果老骑驴倒坐，
铁拐李柱杖步行；
韩湘子吹弹歌唱，
蓝采和喝彩高声；
何仙姑把门不放，
吕洞宾讲下人情。”
“大红花烛照洞房，
四壁映辉亮堂堂。
两边摆起箱和桶，
中间安上绣花床。
请牵娘拉开纱罗帐，
请伴娘挂到金钩上。
床头放好鸳鸯枕，
床边端坐美貌娘。
上身穿的红绫袄，
下身穿的绿绸装。
八幅罗裙暖如春，
打扮哥哥赛潘郎（潘郎，指古代美男子潘安）。
绫袄上面七个字，
罗裙也有字一行……”
“花好月圆种福果，百年夫妻恩爱长！”


    
   
  ",,
,安徽文化网,,http://www.ahage.net/fengsu/22238_4.html,民间 婚俗 见证 徽州 微型 “ 撒 帐 书 ” ( 附 撒 帐 歌 ) ( 4 ),,,,"
   
    
     
      
请新人歌
请新人，出洞房，出离洞房会新郎。
新郎久在那边等，专等织女会牛郎。
俺请新人暂坐下，宾客陪坐列两旁。
八仙桌子当中放，八把椅子摆四方。
桌上食品样样美，听俺细细表名堂：
第一碟子大红枣，早生贵子状元郎；
第二碟子是大葱，聪明儿女振家声；
第三碟子是栗子，早立贵子早成名；
第四碟子长生果，长命百岁福满庭；
第五碟子是冰糖，全家甜蜜喜洋洋；
第六碟子是香椿，香风吹来香喷喷；
第七碟子是天冬，天送麒麟降门庭；
第八碟子是香蕉，香气满堂若蟠桃。
新人玉杯斟喜酒，双手举杯新郎迎。
新郎接过头杯酒，宾客欢畅饮刘伶。


    
   
  ",,
,安徽文化网,,http://www.ahage.net/fengsu/22238_5.html,民间 婚俗 见证 徽州 微型 “ 撒 帐 书 ” ( 附 撒 帐 歌 ) ( 5 ),,,,"
   
    
     
      
十杯酒
一杯喜酒敬新郎，喜洋洋，才子佳人配成双。关雎诗兆瑞，麟趾赋呈祥。生贵子，登金榜，独占鳌堂。
二杯喜酒敬新人，喜盈门，月照秦楼奏好音。人间庆合葩，天上降麒麟。宜家室，如兄弟，鼓瑟鼓琴。
三杯喜酒小登科，钟鼓乐，天赐良缘结丝罗。花开连理枝，人唱好合歌。天增福，人增寿，永乐三多。
四杯喜酒四如意，鸾凤侣，洞房花烛美如玉。才郎曹子建，淑女卫茂绮。绳绳兮，振振兮，四世及第。
五杯喜酒五星明，灿门庭，月老早已系赤绳。一对贤夫妻，逐夜金鸡鸣。出入友，都望着，五子乘龙。
六杯喜酒六大顺，学先进，玉树芝兰垂茂荫。温良恭俭让，仁义礼智信。赶雕龙，追彩凤，六部重任。
七杯喜酒如七贤，千古传，齐家治国载美颜。花开真富贵，竹报永平安。子横经，孙服古，裕后光前。
八杯喜酒庆八仙，卿云联，八走莫京永绵延。国舅敲云板，湘子舞花篮。奏鸾笙，吹凤管，天上人间。
九杯喜酒九子香，长发祥，瑞气千条绕福堂。子如王右军，孙若郭汾阳。乐九成，箫九如，万寿无疆。
十杯喜酒庆十全，大孝贤，乐奏一章是周南。凤鸣歧山上，麒吐阙里间。翰墨林，图书府，揭地掀天。


    
   
  ",,
