url,token title,flag
http://www.ahage.net/huicai/32017.html,"亳州 药膳 系列 之一 —— 药 桂 焖 甲鱼
",neg
http://www.ahage.net/huicai/32035_2.html,"符 离 集 烧鸡 ： 一 道 穿越 历史 的 美食 ( 2 )
",neg
http://www.ahage.net/huicai/8104.html,"河 溜 小 豆饼
",neg
http://www.ahage.net/huicai/hefeizhumingdexiaochizonghui.html,"合肥 著名 的 小吃 总汇
",neg
http://www.ahage.net/huicai/list_12_11.html,"旅游 美食 / 特产 美食
",neg
http://www.ahage.net/huidiao/12145.html,"徽州 三 雕 传承 人 —— 王 金生
",pos
http://www.ahage.net/huidiao/12166.html,"木雕 大师 王 金生
",pos
http://www.ahage.net/huidiao/13673.html,"精雕细刻 铸 华章 —— 记 徽 雕 艺术家 曹 篁生
",pos
http://www.ahage.net/huidiao/13991.html,"新 一 代 沉香木 雕刻 大师 ： 郑 尧锦
",pos
http://www.ahage.net/huidiao/1915.html,"清代 “ 鬼 工 ” 杜 士元 的 两 件 徽 雕 精品
",pos
http://www.ahage.net/huidiao/22385.html,"人工 天 不如 —— 徽州 “ 三 雕 ” 调查
",pos
http://www.ahage.net/huidiao/27103.html,"彭 劲杰 与 木雕 的 二十 年 “ 不 了 情 ”
",pos
http://www.ahage.net/huidiao/27924.html,"钟馗 造像 与 汪氏 一 门 —— 谨 以 此文 纪念 一 位 徽州 木雕 老者
",pos
http://www.ahage.net/huidiao/31386.html,"岳西 根雕
",pos
http://www.ahage.net/huidiao/5264.html,"徽派 篆刻 的 形成
",pos
http://www.ahage.net/huidiao/5358.html,"明代 徽州 “ 雕龙 手 ” —— 歙县 虬村黄氏 刻工
",pos
http://www.ahage.net/huidiao/5359.html,"向 四库全书 馆 献 书 最 多 的 三 位 徽州 人
",pos
http://www.ahage.net/huidiao/5382.html,"“ 徽州 四 雕 ” 的 艺术 特色
",pos
http://www.ahage.net/huidiao/5949.html,"绩溪 墨 模 雕刻
",pos
http://www.ahage.net/huidiao/6643.html,"歙县 著名 的 碑刻
",pos
http://www.ahage.net/huidiao/6644.html,"歙县 境内 主要 书法 刻石
",pos
http://www.ahage.net/huidiao/7004.html,"弘扬 徽 文化 ， 砚海 造 神奇 —— 记 王 祖伟
",pos
http://www.ahage.net/huidiao/list_44_3.html,"徽派 文化 / 徽派 雕塑
",pos
http://www.ahage.net/huidiao/tunxibowuguancang-huizhouzhuandiao.html,"屯溪 博物馆 藏 “ 徽州 砖雕 ”
",pos
http://www.ahage.net/huiju/1725.html,"徽派 戏曲 ： 东晋 时新 安 歌舞 已 蜚声 海内
",pos
http://www.ahage.net/huiju/1990.html,"寻找 徽 戏 的 踪迹
",pos
http://www.ahage.net/huiju/353.html,"徽班 ── 中国 戏剧史 上 的 奇观
",pos
http://www.ahage.net/huiju/5239.html,"国家级 非物质 文化 遗产 —— 徽剧
",pos
http://www.ahage.net/huiju/579.html,"徽剧 和 徽班
",pos
http://www.ahage.net/huiju/587.html,"安徽 徽剧 的 历史 介绍 与 发展 现状
",pos
http://www.ahage.net/huiju/5950.html,"明 嘉靖 传入 徽州 ， 弋阳 腔 发展 为 徽剧
",pos
http://www.ahage.net/huiju/624.html,"汪杰 徽剧 周 瑜 挑 琴 选段
",pos
http://www.ahage.net/huiju/625.html,"汪 玉殊-- 徽剧 小宴 选段
",pos
http://www.ahage.net/huiju/7668.html,"杨 小 楼 的 “ 武戏 文 唱 ”
",neg
http://www.ahage.net/huiju/984.html,"徽州 文化 系列谈 —— 徽州 古 戏台
",pos
http://www.ahage.net/huishang/,"古今 人物 / 徽商 崛起
",pos
http://www.ahage.net/huishang/22285.html,"一个 抗战 时期 徽州 茶商 经营 状况 的 典型 个案
",pos
http://www.ahage.net/huishang/22351.html,"徽商 妇 的 情感 哀怨
",pos
http://www.ahage.net/huixue/11013.html,"天宝 初年 李白奉诏 入 京 地 再 考辨
",neg
http://www.ahage.net/huixue/11077.html,"朱 元璋 中 都城 为什么 会 神秘 消失 ?
",neg
http://www.ahage.net/huixue/11303.html,"徽州 文化 边缘 幅射 的 例证 : 查 济 古村
",pos
http://www.ahage.net/huixue/11307.html,"稿本 《 南 旋 日记 》 与 胡雪 岩 籍贯 之 争
",pos
http://www.ahage.net/huixue/11323.html,"中国 古代 契约 资料 概述
",pos
http://www.ahage.net/huixue/11362.html,"政府 、 商人 与 民众 —— 试论 陶 澍淮 北票 盐 改革
",neg
