dt,source,domain,url,title,summary,image,brief,body,raw_page,from
2009-11-23  ,360doc,,http://www.360doc.com/content/09/1123/10/180914_9581906.shtml,"灯谜艺术的文化使命| 灯谜探究 - ◆徽风皖韵◆ 徽风皖韵,灯谜,射虎,合肥谜协,竞猜,庐...",,,"灯谜艺术的文化使命| 灯谜探究 - ◆徽风皖韵◆ 徽风皖韵,灯谜,射虎,合肥谜协,竞猜,庐...灯谜艺术的文化使命。正因如此，我们必须深入研究灯谜艺术在未来发展中的生存境遇、文化意蕴、审美机制，深刻把握""俗随时变""的民俗文化发展规律，面对新时尚和新变化，敢于与历史对话、与现实对话、与外来文化对话，在东西方文化的冲突、挑战、交融中，在文化现代化的历史进程中，赋予灯谜艺术以新的生命。",,,
2011-08-13  ,360doc,,http://www.360doc.com/content/11/0813/10/1164894_140038795.shtml,8安徽省宣城市绩溪县[徽州文化的发源地之一 称为“徽厨之乡”，“无徽无成镇，无绩不成街”],,,瀛洲乡：瀛洲村、中巧村、外巧村、百鸟村、坑口村、岭里村、岭外村、浒里村、横形村、半茶村、茂井村、周村村、梧村村、汪村村、仁里村。伏岭镇：伏上村、上门村、胡家村、西川村、上西村、桐坑村、合庄村、岭前村、成功村、岱下村、伏下村、半坑村、卓溪村、际下村、新桥村、六亩丘村、江南村、黄茅培村、逍遥村、永来村、绿景村、大障村、芷白村、水村村、新屋下村、德锦村、石夸村、北村村、石门外村、湖村村。,,,
2012-08-11  ,360doc,,http://www.360doc.com/content/12/0811/09/8413713_229534334.shtml,安徽徽文化慱物馆古代大型砚台展,,,安徽徽文化慱物馆古代大型砚台展。,,,
2011-04-25  ,360doc,,http://www.360doc.com/content/11/0425/16/5392082_112221675.shtml,从家徽看日本文化,,,清康非常高兴，此后就以葵为家纹（在下觉得，这一说法实在象是想象力丰富的江户文人创作的清康逸话。）第二种说法：沿用酒井家、本多家的家纹　　酒井家与松平家祖先的关系极为密切，江户时代累世担任幕府老中的酒井一系本出于入赘到酒井家的松平亲氏，血统上已经属于亲藩。《见闻诸家纹》载武田家使用松皮菱、唐花菱，小笠原家为三阶菱，大内家为唐花菱，秋山家也为松皮菱。H 鸳鸯丸：藤原家的家纹，由政宗从近卫家拜领。,,,
2012-06-22  ,360doc,,http://www.360doc.com/content/12/0622/11/2283188_219769669.shtml,徽商大宅院，展示徽文化的亮点窗口,,,徽商大宅院，展示徽文化的亮点窗口。拍摄主题：徽商大宅院。徽文化的核心区域是安徽省黄山市、江西婺源县等地，而歙县是产生徽文化核心中的中心，对徽文化的发展和辐射起到了重要作用。徽商大宅院就是保护徽文化的产物。徽商大宅院也称“西园”，是将散落在全县范围内频临坍塌的26座明末、清初和民国时期具有徽派特色的建筑进行拆迁和修建，按照复原的原则，整体搬进了西园。徽商大宅院是徽州古城最大的宅院，但总面积并不是很大。,,,
2013-11-30  ,360doc,,http://www.360doc.com/content/13/1130/15/137012_333423074.shtml,徽文化特点是什么？,,,徽文化特点是什么？而徽商的开拓又将徽文化扩撒至四方，徽戏进京，促成京剧产生，徽州版画“独鳌艺林”等）；徽文化的重要特点是它作为中华文化的一个浓缩和汇聚，含有中华文化的一个标本和缩影。另一方面是徽州作为“程朱桑梓”，程朱理学成为徽文化的指导思想，使徽文化深深打下了封建文化的烙印，我们相信随着徽精神的多层面开拓和探究，人们将进一步加深对徽文化的认识，了解它的地位，取其精华为现代化事业服务。,,,
2013-12-19  ,360doc,,http://www.360doc.com/content/13/1219/08/8826950_338311295.shtml,在屯溪感受徽文化,,,在屯溪感受徽文化在屯溪感受徽文化。屯溪在古徽州是徽文化的中心，是一府六院(徽州府、歙县、祁门、黟县、休宁、婺源、绩溪)的中心，至今还保存着自己的文化特征。所以徽州人从小就开始习书写字，徽砚、徽笔、徽纸、徽墨文房四宝，在徽州都有，在全国还相当的有名。现在你在屯溪老街，看到最多的商铺，还是与徽文化有关的文房四宝、徽雕艺术店。屯溪老街，一条让你挥之不去的文化梦。,,,
2009-10-29  ,360doc,,http://www.360doc.com/content/09/1029/11/385412_8030999.shtml,徽文化系列之——东南邹鲁”今何在,,,"党的十一届三中全会之后，一些有识之士不断呼吁抢救徽州文化，保护徽州文化，研究徽州文化，并付之于行动，取得了一定成果，也引起了各级领导的重视。""徽保区""的重点是""保护""二字，其重中之重又是对古徽州一府六县徽州文化生态的整体保护，如果离开绩溪、婺源，仅保护黄山市所属的3区4县，那就失去了成立""徽保区""的实际意义。""我是徽州人""，这句响当当的话，饱含着徽州人千百年来累积起来的徽州情结！",,,
2015-11-03  ,360doc,,http://www.360doc.com/content/15/1103/15/5896561_510448053.shtml,美国女巫小镇有座徽派古建？原是从休宁整体搬迁的“荫余堂”已成徽文化对外交流窗口,,,记者从黄山市休宁县获悉，这座名叫“荫余堂”的徽派建筑来自休宁县中国历史文化古村黄村，早在1997年就走出国门，来到美国波士顿附近萨勒姆小镇的迪美博物馆。记者从黄山市休宁县获悉，“荫余堂”来自休宁县商山镇境内的黄村，黄村拥有1100多年的历史，当地人据传是唐朝农民起义领袖黄巢的后人，而“荫余堂”的之前的房主就是当地黄氏族人。目前当地政府已经对黄村现存的古民居展开保护，黄村也已开发成景区接待外来游客。,,,
2011-07-25  ,360doc,,http://www.360doc.com/content/11/0725/15/1116828_135754949.shtml,净土文化长廊之西七：净土宗宗徽之含义,,,净土文化长廊之西七：净土宗宗徽之含义。此宗徽以「莲花」及「地球」所构成，显示「莲花开满地球」，即是念佛法门，弘遍世界。此地球之人，但能念佛，弥陀净土即生莲花，其人临命终时，佛与圣众，持此莲花，前来迎接，往生弥陀净土。又，既是「念佛、净土、莲花」皆相同，则是「同一念佛无别道，同一净土无别土，同一莲花无别花」。此「莲花地球」之宗徽，亦是譬喻极乐世界，亦即莲花世界，因为极乐世界即是莲花藏世界之故。,,,
