dt,source,domain,url,title,summary,image,brief,body,raw_page,from
,故园徽州,,http://www.99huizhou.com/forum.php?mod=forumdisplay&fid=78,人文徽州_徽州文化区_故园徽州_徽州网-故园徽州网-黄山门户社区 ...,,,徽州，不仅有冠绝人寰的山水；徽州，更有着独特而深厚的文化底蕴.,,,
,故园徽州,,http://www.99huizhou.com/forum-148-1.html,第十一届中国黄山国际旅游节暨徽文化节-故园徽州网- Powered by ...,,,"第十一届中国黄山国际旅游节暨徽文化节. ... 隐藏置顶帖 预览 2017“点亮徽州，西街
文化之夜”故园徽州新春盛典报名帖 attach_img ...234 · admin 2016-12-15, 34 ...",,,
,故园徽州,,http://www.99huizhou.com/forum-119-1.html,第十届中国黄山国际旅游节暨徽文化节_故园徽州-故园徽州网 ...,,,"第十届中国黄山国际旅游节暨徽文化节，定于11月4日至11月10日在黄山市隆重
举行...&amp;amp;lt;font color=#ff3300&amp;amp;gt;&amp;amp;lt;b&amp;amp;gt; ...",,,
,故园徽州,,http://www.99huizhou.com/forum-147-1.html,徽州文化生态保护区专版,,,"徽州文化是中华文化重要的组成部分。徽州文化的保护，最为重要、最为紧迫、最值得
关注的，是对徽州文化生态区域的整体性保护.",,,
,故园徽州,,http://www.99huizhou.com/forum.php?gid=1,徽州文化-故园徽州- Powered by Discuz!,,,"徽州文化网、徽州文化频道. ... 徽州文化是中华文化重要的组成部分。徽州文化的
保护，最为重要、最为紧迫、最值得关注的，是对徽州文化生态区域的整体性保护.",,,
,故园徽州,,http://www.99huizhou.com/forum.php?mod=forumdisplay&fid=78&filter=typeid&typeid=13,徽学知识- 人文徽州_徽州文化区_故园徽州_徽州网-故园徽州网-黄山 ...,,,徽州，不仅有冠绝人寰的山水；徽州，更有着独特而深厚的文化底蕴.,,,
,故园徽州,,http://www.99huizhou.com/thread-194203-1-1.html,方利山2017元旦特稿：纪念“徽州文化生态保护区”设立九周年-故园时评 ...,,,"强化“文化生态保护”理念太重要 ——写在“徽州文化生态保护区”设立九周年之际 
方利山 2008年元月8日，国务院批准的“国家级徽州文化生态保护 ...",,,
,故园徽州,,http://www.99huizhou.com/archiver/fid-147.html,徽州文化生态保护区专版,,,"徽州文化是中华文化重要的组成部分。徽州文化的保护，最为重要、最为紧迫、最值得
关注的，是对徽州文化生态区域的整体性保护,故园徽州.",,,
,故园徽州,,http://www.99huizhou.com/thread-187251-1-1.html,【重要】故园徽州文化促进会关于复徽的四点意见-故园时评-故园徽州网 ...,,,"1、 徽州地名应该恢复，黄山地名应予规范。正一、关于地名，现在开展的第二次全国
地名普查中，目前正进行地名文化保护暨清理整治不规范地名 ...",,,
,故园徽州,,http://www.99huizhou.com/forum.php?mod=forumdisplay&fid=78&filter=typeid&typeid=162,徽风民俗- 人文徽州_徽州文化区_故园徽州_徽州网-故园徽州网-黄山 ...,,,徽州，不仅有冠绝人寰的山水；徽州，更有着独特而深厚的文化底蕴.,,,
