dt,source,domain,url,title,summary,image,brief,body,raw_page,from
2016-12-14,新黄山,,http://www.xinhs.cn/article.asp?id=82813,30余位中外书画家安徽体验“徽文化”_新黄山网、黄山市干部在线学习城,,,"2016年12月14日 ... 12月9日至10日，来自中国、俄罗斯、印度、印度尼西亚、意大利、新加坡、日本和美国
等十多个国家和地区的30余位书画家应邀赴皖南体验“徽文化”。",,,
2016-3-14,新黄山,,http://www.xinhs.cn/article.asp?id=77994,我市2校开展徽文化传习活动_新黄山网、黄山市干部在线学习城,,,"2016年3月14日 ... 近日，我市两所学校开展徽文化传习活动，将传统地域文化“请”进课堂，就地取材，
通过研究和教学，培养传承人，让传统艺术代代相传，进一步活跃 ...",,,
2016-11-23,新黄山,,http://www.xinhs.cn/article.asp?id=82387,匠人手中的徽州文化_新黄山网、黄山市干部在线学习城,,,"2016年11月23日 ... 古徽州处在皖、浙、赣三省交界的山区，地理环境相对封闭，但随着中原世家大族陆续
迁入，一些外来的优秀传统文化开始进入徽州，和本土文化 ...",,,
2016-1-18,新黄山,,http://www.xinhs.cn/Article.asp?id=77024,传承徽文化浓浓是乡愁——《千古一叹古坦头》新书首发暨赠书仪式 ...,,,"2016年1月18日 ... 传承徽文化，浓浓是乡愁。元月15日上午，绩溪坦头村汪氏祠堂迎来了“《千古一叹古
坦头》新书首发暨赠书仪式”，来自我县文化届、徽学研究界的 ...",,,
2005-10-4,新黄山,,http://www.xinhs.cn/article.asp?id=1835,黄山节筹委会要求将徽文化大观园办出特色_新黄山网、黄山市干部 ...,,,"2005年10月4日 ... 9月7日，第九届中国黄山国际旅游节暨徽文化节筹委会召集市直相关责任单位举行
会议，专题研究“徽文化大观园”项目建设问题。市领导杨立威、程 ...",,,
2016-7-19,新黄山,,http://www.xinhs.cn/article.asp?id=80659,多国青年汉学家走进西递宏村体验徽文化_新黄山网、黄山市干部在线 ...,,,"2016年7月19日 ... 7月18日，来自阿根廷、埃及、巴基斯坦等27个国家和地区的34名青年汉学家在文化
部外事局及省、市文化部门陪同下，来黟县西递宏村开展中华历史 ...",,,
2016-7-20,新黄山,,http://www.xinhs.cn/article.asp?id=80672,我市积极推进文化产业发展_新黄山网、黄山市干部在线学习城,,,"2016年7月20日 ... 今年以来，我市按照省委、市委关于推进文化改革发展工作的总体要求， ... 加大招商
引资力度，利用现代服务业产业园、徽文化产业园的建设平台， ...",,,
,新黄山,,http://www.xinhs.cn/ebook_Article.asp?id=63812,论徽州文化的现代意义_中共黄山市委党校欢迎您！,,,"我们认为徽州文化虽然是地域文化，但它代表着中华文化在南宋以后的发展，在一定
历史时期具有主流文化的特征。如今，研究徽州文化具有相当重要的现实意义。",,,
2016-8-23,新黄山,,http://www.xinhs.cn/article.asp?id=80887,海外文化侨团来我市参观考察_新黄山网、黄山市干部在线学习城,,,"2016年8月23日 ... 代表团一行先后到我市屯溪区、黟县等地，观摩我市徽文化特色表演，听取了我市
有关“徽文化、徽商”及非遗项目历史发展等内容的专题文化艺术交流 ...",,,
2016-7-20,新黄山,,http://www.xinhs.cn/article.asp?id=80682,工匠精神：徽派建筑为何能在中国建筑史上独树一帜？_新黄山网、黄山 ...,,,"2016年7月20日 ... 在这里，中原文化、吴越文化、楚文化交相融合，不仅形成了与藏文化、敦煌文化并称
为“中国三大地域文化”的徽州文化，而且有四千多个保存完好的 ...",,,
