dt,source,domain,url,title,summary,image,brief,body,raw_page,from
2016-12-16,网易新闻 ,,http://news.163.com/16/1216/11/C8DFAFMP00018AOP.html,停止“徽文化”的“异地保护”,,,"(原标题:停止“徽文化”的“异地保护”) 本报讯 徽州文化生态保护试验区在皖南国际旅游示范区建设中具有重要作用。今年4月,国家文化部文化生态保护实验区评估组对...  百度快照",,,
2016-12-10,网易新闻 ,,http://news.163.com/16/1210/14/C7UAMRR3000187V5.html,30余位中外书画家皖南体验“徽文化”,,,来自中国、俄罗斯、印度、印度尼西亚、意大利、新加坡、日本和美国等十多个国家和地区的30余位书画家9日至10日在皖南体验“徽文化”。...  7条相同新闻  -  百度快照,,,
2016-12-14,新华网安徽站 ,,http://www.ah.xinhuanet.com/20161214/3576901_c.html,30余位中外书画家安徽体验“徽文化”,,,"12月9日至10日,来自中国、俄罗斯、印度、印度尼西亚、意大利、新加坡、日本和美国等十多个国家和地区的30余位书画家应邀赴皖南体验“徽文化”。  百度快照",,,
2016-11-29,网易新闻 ,,http://news.163.com/16/1129/10/C71J7CQL000187VI.html,黄山:“活态”传承徽文化,,,"(原标题:黄山:“活态”传承徽文化) [编者按] 我省文化底蕴深厚,自然景观秀丽,风貌特色鲜明,现存大量传统建筑、传统村落、传统民居及其他历史遗存,具有很高的历史...  5条相同新闻  -  百度快照",,,
2016-12-09,东方财富网 ,,"http://stock.eastmoney.com/news/1354,20161209691914768.html",黄山旅游:旅游与徽文化融合,,,"华安证券认为,黄山旅游成为黄山市乃至安徽省旅游资源的运作平台,这也是安徽省和黄山市对公司的定位。去年召开的黄山风景区改革发展座谈会上,提出公司要把旅游与徽文化...  2条相同新闻  -  百度快照",,,
2016-10-04,凤凰网 ,,http://v.ifeng.com/news/society/201610/017002e4-89ca-11e6-9b3a-002590c2aaeb.shtml,安徽徽文化博物馆:梦回古徽州,,,安徽徽文化博物馆:梦回古徽州 资讯 > 社会 > 看东方 2016-10-04 08:50:00 02:23 43.2万 新浪微博 QQ 腾讯空间 微信展开 开心网 网易微博 飞信 百度贴吧...  2条相同新闻  -  百度快照,,,
2016-10-01,新浪新闻 ,,http://news.sina.com.cn/c/2016-10-01/doc-ifxwmamz0165378.shtml,徽州古城今日人气旺 游客看大戏游古街品徽文化,,,"原标题:徽州古城今日人气旺游客看大戏游古街品徽文化凡本报记者署名文字、图片,版权均属新安晚报所有。任何媒体、网站或个人,未经授权不得转载、链接、转贴或以其他...  2条相同新闻  -  百度快照",,,
2016-09-28,新华网 ,,http://news.xinhuanet.com/city/2016-09/28/c_129303683.htm,唤醒徽文化“活化石”,,,"唤醒徽文化“活化石”---“在这里生活真的很舒服,不仅空气比城里清新,环境宜人,而且古村文化底蕴丰厚,精神上很愉悦。据安徽省住房城乡建设厅村镇规划建设处处长...  百度快照",,,
2016-09-28,腾讯财经 ,,http://finance.qq.com/a/20160928/012414.htm,徽文化沙龙 解密徽商之道,,,"深圳商报讯 (记者 陈广琳)由深圳市社科联主办、深圳市徽文化研究会承办的第二期徽文化沙龙日前在福田区图书馆举行,安徽大学徽学研究中心主任、中国著名徽学专家、...  百度快照",,,
2016-12-07,人民网安徽站 ,,http://ah.people.com.cn/n2/2016/1207/c351992-29427308.html,黄山市屯溪区黎阳镇:加快徽文化传统旅游产业发展,,,"黄山黎阳,“两江交汇”、“三省通衢”,自古为茶叶、粮食、食盐、木材等物资重要集散地,勤劳诚信的徽州商人,曾称雄中华商界三百余年,创造了“无徽不成镇”的神话...  百度快照",,,
2016-09-24,21CN ,,http://news.21cn.com/caiji/roll1/a/2016/0924/14/31570113.shtml,合肥万达城24日开业 徽文化遇上世界级娱乐,,,"金秋月,巢湖边,万达城,合肥行。据介绍,合肥万达城一期占地160公顷,总建筑面积300万平方米,文化旅游投资240亿元,规划旅游、文化、体育、商业、酒店五大内容,首期开业...  5条相同新闻  -  百度快照",,,
2016-09-24,新浪财经 ,,http://finance.sina.com.cn/roll/2016-09-24/doc-ifxwermp3788476.shtml,合肥万达城盛大开业 徽文化特色鲜明,,,"9月24日,合肥万达城盛大开业,这是万达今年开业的第2个万达城,也是开业的第5个大型文化旅游项目。世界创新的游乐设备、室内室外结合的游乐方式、鲜明的徽派文化特色...  30条相同新闻  -  百度快照",,,
2016-11-29,中国网福建频道 ,,http://fj.china.com.cn/p/251971.html,行走徽杭古道 体验徽州文化,,,"徽杭古道始称逍遥岩古道,初建于唐代,至今已有一千多年历史,与丝绸之路、茶马古道一起被称为“中国三大古道”。置身其中,仿佛和他们相伴而行的是古徽州第一忠...  4条相同新闻  -  百度快照",,,
2016-11-27,浙江在线 ,,http://cs.zjol.com.cn/system/2016/11/27/021382288.shtml,走进徽杭古道 品味徽州文化,,,"浙江在线11月27日讯(王淼)11月25日27日,由安徽新媒体集团主办,黄山徽之源体育旅游公司、徽杭古道景区协办的行道悟道德道徽杭古道行走体验活动在绩溪举行。据悉,...  3条相同新闻  -  百度快照",,,
2016-11-25,合肥房地产交易网 ,,http://news.hfhouse.com/html/2486089.html,【宝利丰广场】11月进度 徽文化街区全面建设,,,"宝利丰广场大型购物中心徽文化街区目前正在全面建设中,绿网已拆。高层3#、5#、6#、7#、9#准现房呈现,宝利丰广场爱情公寓最后1栋16#楼已封顶,绿网未拆。  百度快照",,,
2016-11-15,万家热线 ,,http://365jia.cn/news/2016-11-15/351360F99DB3A22D_2.html,各类卡通包公亮相地铁1号线 合肥首列主题专列尽显“徽文化”,,,"按照今年12月正式开通运营的计划,合肥轨道交通1号线试运行进展顺利,1号线26辆列车全部进入车辆段,试运营已经进入“倒计时”。市轨道公司负责人表示,1号线试运行总...  8条相同新闻  -  百度快照",,,
2016-09-30,凤凰网 ,,http://news.ifeng.com/a/20160930/50050551_0.shtml,"万达徽文化主题乐园大门正式开启,探秘旅程必不可少!",,,"9月24日,合肥万达文化旅游城国际酒店群正式开业。这是继南昌万达城之后,今年内开业的第二座万达城,也是万达开业的第五个大型文化旅游项目。王健林更是携妻儿合体...  3条相同新闻  -  百度快照",,,
2016-10-19,新华网安徽站 ,,http://www.ah.xinhuanet.com/edu/zhuanti/jyzxzxd/20161019/3493562_c.html,歙县:传统徽文化与现代精神文明的融合,,,"在校园文化建设上,歙县桂林中心学校注重传统。据悉,徽州文化传统中有这样一项,古时有人考取进士后,会在自家院落内种下一棵桂花树。沿承这项文化传统,汪献忠在校内提...  百度快照",,,
2016-08-20,网易新闻 ,,http://news.163.com/16/0820/19/BUUGR4VK000146BE.html,近40位海外文化侨社负责人赴皖体验“徽文化”,,,(原标题:近40位海外文化侨社负责人赴皖体验“徽文化”) 中新社黄山8月20日电 (仕学龙 赵强)由中国国务院侨务办公室宣传司和安徽省侨办联合组织的“文化中国之...  11条相同新闻  -  百度快照,,,
2016-10-25,市场信息报 ,,http://www.scxxb.com.cn/html/2016/stny_1025/219245.html,安徽卢村:保护徽文化建设新农村全力打造中国美丽休闲乡村样板,,,"卢村地处安徽省南端、黄山风景区西南的黟县北部,隶属于黟县宏村镇,始建于南唐时期,至今已有一千多年的历史,距离世界文化遗产宏村仅1000米,距离黄山风景区20余公里...  百度快照",,,
2016-10-04,cctv新闻 ,,http://news.cctv.com/2016/10/04/VIDEbe3TfBkrYCFmh2mm8Tdu161004.shtml,[看东方]安徽徽文化博物馆:梦回古徽州,,,[看东方]安徽徽文化博物馆:梦回古徽州 发布时间:2016年10月04日 10:13 | 进入复兴论坛 | 来源:央视网 | 手机看新闻 | 手机看视频 ...  百度快照,,,
2016-10-03,cctv新闻 ,,http://news.cctv.com/2016/10/03/VIDEcx6m1FZ7BxGHl2Dfw3vd161003.shtml,[东方新闻]安徽徽文化博物馆:梦回古徽州,,,[东方新闻]安徽徽文化博物馆:梦回古徽州 发布时间:2016年10月03日 21:41 | 进入复兴论坛 | 来源:央视网 | 手机看新闻 | 手机看视频 ...  百度快照,,,
2016-08-18,网易新闻 ,,http://news.163.com/16/0818/09/BUOAB42200014AED.html,学子体验徽文化,,,"(原标题:学子体验徽文化) 今年暑假,浙江传媒学院电视艺术学院“走进徽派”暑期实践团队一行8人来到了黟县宏村开展以拍摄徽派建筑为辅、探寻徽州文化为核心的暑期实践...  3条相同新闻  -  百度快照",,,
2016-09-09,华夏经纬网 ,,http://www.huaxia.com/xtzx/xcyw/2016/09/5002742.html,一次徽文化的探寻之旅——随访台湾基层人士参访团来宣考察侧记,,,"陈诗椿来自台湾高雄,和他同行的还有40名台湾基层人士,他们组成“台湾基层人士参访团”探寻徽文化。9月4日他们来到首站泾县宣纸文化园,体验宣纸制造技艺。陈诗椿的徽...  3条相同新闻  -  百度快照",,,
