dt,source,domain,url,title,summary,image,brief,body,raw_page,from
2017-01-01,中国新闻网,,http://www.chinanews.com/cul/2017/01-01/8110957.shtml,"徽州古建筑保护遇窘境 专家建言防""建设性破坏""",,,"保护时表示。

　　徽派建筑是中国传统建筑最重要的流派之一，是徽文化的重要组成部分，尤以民居、祠堂和牌坊最为典型。方利山说，在这些绝美的木雕、砖雕、...",,,
2016-12-10,中国新闻网,,http://www.chinanews.com/cul/2016/12-10/8089732.shtml,30余位中外书画家皖南体验“徽文化”,,,　　中新社黄山12月10日电 (赵强)“我对皖南一直很向往，‘徽文化’作为中华传统文化重要组成部分，孕育出种类繁多的文化形态。徽派建筑很入画，通过实...,,,
2016-12-09,中国新闻网,,http://www.chinanews.com/shipin/cns/2016/12-09/news681905.shtml,日籍华人画家葛新民画展在合肥开幕,,,"考察，深入体验徽文化。

　　【同期】印度画家 甘纳什·巴苏

　　我来自印度，我是一名画家，我来过...",,,
2016-12-08,中国新闻网,,http://www.chinanews.com/cul/2016/12-08/8088110.shtml,"""一带一路 飞彩流韵""\u2014\u2014旅日画家葛新民敦煌墨彩画展在合肥开展",,,"国民间的艺术文化交流做出贡献。

　　据悉，在皖期间，葛新民等艺术家将赴安徽大学与师生进行艺术交流，举行笔会创作，并赴皖南实地考察，深入体验徽文化。

　　该画展将于14日结束。(完)",,,
2016-12-07,中国新闻网,,http://www.chinanews.com/hr/2016/12-07/8085801.shtml,剪纸、抖空竹、皮影戏等中国民间绝活海外亮相 ,,,"展示了来自安徽六安的剪纸、茶艺，让德国朋友领略到徽文化的独特魅力。

　　民族的才是世界的。这些以“口传心授”的方式活态传承于民间、代...",,,
2016-11-28,中国新闻网,,http://www.chinanews.com/cul/2016/11-28/8076375.shtml,何叔水陶瓷作品《富贵春》：在釉面上飞扬的思想,,,"工整严谨、富丽鲜明、雅俗共赏”，无处不张扬着思想和智慧的光辉。

　　如今，何叔水大师早已是名满天下，但他却从未停止过不懈的追求。为了支持安徽文化艺术品中心的发展，奉献一件他的得意之作--《富贵春》。",,,
2016-11-20,中国新闻网,,http://www.chinanews.com/cj/shipin/cns/2016/11-20/news677975.shtml,"徽州山珍""出城记""：互联网成致富网",,,　　【解说】绩溪，是徽文化的发源地，也是徽商的聚集地。徽商学徒在十四五岁便走出大山学习经商，将茶叶等山中特...,,,
2016-11-09,中国新闻网,,http://www.chinanews.com/hr/2016/11-09/8058072.shtml,16家海外侨胞联络站助力安徽开放发展,,,在服务安徽经贸发展的同时，还积极助推“徽文化”走向海外。“海外侨胞联络站开展的系列文化演出活动，对弘扬中华民族文化，加强海内...,,,
2016-11-07,中国新闻网,,http://www.chinanews.com/life/2016/11-07/8055853.shtml,安徽绩溪举办徽菜美食文化旅游节,,,"菜美食文化旅游节7日在安徽绩溪举行，来自五湖四海的嘉宾共同品味寻常百姓家的徽州食事。

　　绩溪县委副书记郑华表示，绩溪是国家历史文化名城，徽文化的重要发祥地，徽墨、徽剧、徽雕等非物质文化均源于此；绩溪同时是中国徽菜之乡、中国...",,,
2016-11-03,中国新闻网,,http://www.chinanews.com/tw/2016/11-03/8052465.shtml,两岸和平发展论坛发布41个交流项目 聚焦青年,,,"竞赛获奖青少年夏令营、两岸青年学生“寻迹京杭运河”主题活动、海峡两岸(安徽)青年徽文化交流周和跨越海峡感知中原——台湾青年交流月等。

　　有4个项目支持台湾学者到大...",,,
2016-10-06,中国新闻网,,http://www.chinanews.com/cul/2016/10-06/8023128.shtml,杨丽萍携外国团队打造大型室内演出《黄山映象之天仙配》  ,,,"，把山灵水秀的徽文化与《天仙配》的故事立体化的呈现在观众面前。

　　部分观众观后认为，虽然部分舞台...",,,
2016-09-27,中国新闻网,,http://www.chinanews.com/house/2016/09-27/8016414.shtml,万达城复制扩张提速 王健林以低成本运营叫板迪士尼？,,,，室外主题乐园早已运营，酒吧街商家已经入驻，酒店等业态都进入了营业状态。其中占地超40万平方米，总投资逾20亿元的合肥万达室外主题乐园是大型徽文化主题乐园，园区内规划有徽州古韵、梨园春,,,
2016-09-26,中国新闻网,,http://www.chinanews.com/cul/2016/09-26/8015519.shtml,"安徽上演""文化盛会"" 推千余场文化演出",,,"　　中新网合肥9月26日电 (张强)记者26日从安徽省文化厅获悉，第十一届安徽省艺术节暨第三届安徽文化惠民消费季·好戏大家看系列展演展示活动于9月——12月举办。

　　安徽省文化厅...",,,
2016-09-24,中国新闻网,,http://www.chinanews.com/cj/2016/09-24/8013690.shtml,"第二座万达城开业 上海迪士尼遭""围攻""？",,,均体现浓郁的徽文化特色。其中的实景特技秀“淝水之战”，演绎的就是发生在当地的经典古代战役；而南昌万...,,,
2016-09-24,中国新闻网,,http://www.chinanews.com/cj/2016/09-24/8013608.shtml,合肥万达城开业 徽文化主题鲜明,,,"外主题乐园有世界最高立环过山车、中国首台断轨对冲式过山车等33项大型设备；室内电影乐园有“飞跃安徽”等世界最新电影科技娱乐项目。

　　二是徽文化主题鲜明。合肥万达城将徽文化
										",,,
2016-09-23,中国新闻网,,http://www.chinanews.com/life/2016/09-23/8012996.shtml,"""十一""去哪儿？ 这些美景不容错过！",,,"拍摄地：安徽省黟县

　　始建于公元前221年，那个时候，秦始皇还在位。算下来，黟县已有2300多年历史了。这里，也是“徽商”和“徽文化”的发祥地之一。

　　没有时代变更留下的斑驳疮痍，只留历史积淀带来的宁静祥和。...",,,
2016-09-22,中国新闻网,,http://www.chinanews.com/hr/2016/09-22/8011613.shtml,数十位皖籍侨领侨胞为家乡发展建言献策,,,"　加拿大安徽同乡总会会长赵完全坦言，安徽是文化大省，近年来，安徽在国际上的影响力越来越大。“希望安徽继续加大旅游方面的推广，把具有地域特色的徽文化推向海外，我们愿意为皖加之间经济、文化等方面的交流合作牵线搭桥。”

　　为纪念...",,,
2016-09-20,中国新闻网,,http://www.chinanews.com/life/2016/09-20/8008919.shtml,芜湖方特5A级景区揭牌开启方特旅游新篇章,,,"经成为华东地区游客出游的绝佳选择，成就了安徽文化旅游产业的中流砥柱，成为推动芜湖市乃至安徽省的旅游业发展的有力动力。

　　方特...",,,
2016-09-10,中国新闻网,,http://www.chinanews.com/cul/2016/09-10/8000422.shtml,"50余位知名作家相聚""中国黄山书会"" 分享写作心得",,,"过十一届，长期以来受到业内外人士和广大读者的关注和好评。本次“黄山书会”是第三届安徽文化惠民消费季重要活动之一。

　　鲁迅文学院副院长邱华栋表示，最近几个月接连举办了...",,,
2016-08-29,中国新闻网,,http://www.chinanews.com/hr/2016/08-29/7987495.shtml,泰国华裔青少年相聚皖南：愿做泰皖文化交流使者,,,"号。谈及此，美芬略显害羞地说：“我之前虽然学习过汉语，但不是很好，所以用拼音注明不会写的字。这次来就是想提高自己的汉语水平。”

　　歙县是徽文化的主要发祥地，中国历史文化名城。在这里，营员们将学习汉语、书法、剪纸、中华武术",,,
2016-08-24,中国新闻网,,http://www.chinanews.com/hr/2016/08-24/7982721.shtml,"海外华人文化社团负责人：传播中华文化需""亲身躬行""",,,"日，由中国国务院侨务办公室宣传司和安徽省侨办联合组织的“文化中国之旅”正在安徽进行，来自17个国家的近40位海外华人文化社团负责人在皖体验“徽文化”，宋南华就是其中一员。

　　在",,,
2016-08-23,中国新闻网,,http://www.chinanews.com/hr/2016/08-23/7982070.shtml,海外文化侨社负责人赴安庆交流黄梅戏文化,,,"的剧种。一曲《天仙配》更让黄梅戏蜚声海内外，被外国友人称为“中国的乡村音乐”。

　　据了解，本次“文化中国之旅”安徽行以“行走皖南路、体验徽文化”为主题，代表团还将分别赴合肥等地参观交流考察。(完)",,,
2016-08-23,中国新闻网,,http://www.chinanews.com/cul/2016/08-23/7981646.shtml,50个千年古镇古村落列入安徽地名文化遗产名单,,,"产名单。

　　方耀明说，开展地名文化遗产认定保护工作，对保护安徽省独特地名文化资源，传承和弘扬安徽历史文化，扩大安徽知名度和影响力，推进安徽文化强省建设、美好乡村建设、旅游产业大省建设具有重要意义。

　　据悉，本次评选严格...",,,
2016-08-20,中国新闻网,,http://www.chinanews.com/hr/2016/08-20/7979114.shtml,近40位海外文化侨社负责人赴皖体验“徽文化”,,,"文化”。

　　据安徽省外侨办主任王信介绍，“徽文化
										",,,
2016-08-12,中国新闻网,,http://www.chinanews.com/hr/2016/08-12/7970740.shtml,"泰国安徽商会会长：愿为皖泰经贸合作""牵线搭桥""",,,海外侨胞联络站”在肯尼亚设立以来，安徽省首批16家海外侨胞联络站广泛搭建服务平台，特别是在近期为安徽遭遇洪水灾害地区募集救灾款物、积极助推“徽文化”走向海外，以及为安徽企业“走出去、引进来”等方面发挥了积极作用。(完),,,
2016-08-08,中国新闻网,,http://www.chinanews.com/hr/2016/08-08/7965650.shtml,"多国华裔青少年相聚皖南 体验""徽风皖韵"" ",,,"单位承办的“亲情中华·徽风皖韵”夏令营8日在安徽省绩溪县适之中学开营，来自加拿大、美国、比利时等国近30位华裔青少年将在这里开始为期14天的徽文化学习体验。

　　16岁的",,,
