,delta,price,year,odometer,title,city
0,585.591513163,9500,2006,162000.0,2006 Toyota 4 Runner,5
1,-402.986059742,4500,2007,159074.0,2007 Toyota Corolla LE,5
2,3701.30451796,8000,2001,85000.0,TOYOTA CONVERTIBLE,5
3,-495.631266252,5200,2001,140145.0,vendo Toyota sequoia 2001,5
4,8226.82769057,29000,2010,80843.0,2010 Tundra Crew Cab,5
5,-311.061783908,3400,2002,173000.0,2002 Toyota Camry,5
6,-275.02716173,2300,1999,158087.0,Toyota camry 1999,5
7,1381.16413408,5500,2003,109000.0,2003 LE Corolla,5
8,-3628.95104764,10000,2006,120000.0,"Price Reduced !!!! 2006 TACOMA, WAS $11,5000 NOW $10,000 --OBO",5
9,2143.0993269,21000,2008,98000.0,2008 Toyota Tacoma 4x4 etx cab,5
10,3734.59071864,16500,2007,120600.0,2007 Toyota FJ Cruiser,5
11,-142.967902003,3000,1998,114544.0,1998 Toyota Avalon 114k miles,5
12,4504.45791889,14500,2010,112000.0,2010 Toyota Venza V6 AWD,5
13,-3065.24779077,6900,2005,140472.0,2005 TOYOTA TUNDRA,5
14,4268.88183452,31500,2014,28000.0,2014 Toyota Tacoma Sport TRD - Like New,5
15,319.319021575,8000,2010,103008.0,2010 Toyota Corolla,5
16,299.994399578,4300,2002,115000.0,Low Miles - 2002 Prius,5
17,1872.61370304,5000,1999,180000.0,"Car for SALE: Toyota, Avalon 1999",5
18,-451.793855713,1100,1991,160000.0,1991 Toyota Corolla,5
19,3017.50391208,11700,2009,97967.0,2009 Toyota Prius Touring,5
20,1778.50263027,26000,2010,77500.0,2010 FJ Cruiser Trail Teams Edition,5
21,2947.82595359,12500,2003,184500.0,Toyota Tacoma,5
22,-3160.50539006,17790,2011,22660.0,Toyota Sienna 2011 LE 7-Passenger Auto Access Seat,5
23,-452.668689185,6000,1999,180000.0,Lifted 4x4 tacoma,5
24,2191.69094304,11899,2009,67000.0,2009 Toyota Prius,5
25,-306.616382697,5000,2005,109000.0,2005 Toyota Corolla LE,5
26,1.03559812753,5399,2006,181000.0,********2006 Toyota Prius 4 Door********,5
27,-2911.70898291,4200,2007,77500.0,2007 Toyota Yaris (low mileage),5
28,289.942261353,7500,2005,175000.0,2005 Toyota Highlander limited,5
29,782.415902652,3500,1998,97090.0,98 Camry LE,5
30,5509.50987608,31500,2014,26500.0,"2014 Toyota 4Runner SR5 4x4, 3rd row, immaculate",5
31,-902.917075648,4000,2001,87000.0,2001 Toyota Sienna,5
32,1306.46230711,9999,2001,90000.0,2001 Toyota 4Runner 4x4 Limited 9999obo,5
33,170.322191876,11900,2010,58000.0,2010 Toyota Prius only 58k miles,5
34,349.138724513,2100,1992,176950.0,"1992 Toyota Camry LE, Very Clean",5
35,-4.35871226725,11900,1999,183000.0,1999 Toyot Landcruiser,5
36,2980.58973884,17000,2005,92200.0,2005 Toyota Tacoma,5
37,-175.02716173,2400,1999,158000.0,1999 TOYOTA CAMRY LE V6,5
38,938.433123961,15900,2007,140000.0,2007 FJ Maroon w/Black Roof- REDUCED,5
39,2293.29747842,16000,2012,74000.0,2012 Prius IV - Sun Roof/Solar Panel Roof - Clean Title -,5
40,1402.08574765,4600,1994,136000.0,"1994 Toyota 4Runner, 136k orig mi.",5
41,52.5224015725,3900,2003,165225.0,2003 Toyota Camry,5
42,2891.577298,12000,2006,72000.0,"2006 Toyota Sienna LE 72,000 miles only!!!!",5
43,5031.00405438,14500,2007,176000.0,2007 Toyota Tundra SR5 4x4 IForce Crew cab,5
44,168.451049131,2350,1999,122000.0,LOW MILES ; NEW MICHELIN TIRES,5
45,5562.18825247,29900,2013,66000.0,toyota tacoma TRD Nav/camera V6 4x4,5
